,quantile,sample,celltype,values
0,0,A0006_S89_L002,Astro,0.09998132
1,0,A0006_S89_L002,BC,0.0039976146
2,0,A0006_S89_L002,CD4+ TC,0.0024182547
3,0,A0006_S89_L002,CD8+ TC,0.0079446
4,0,A0006_S89_L002,EX,0.62718356
5,0,A0006_S89_L002,Erythrocyte,0.0026903318
6,0,A0006_S89_L002,LAMP5+ IN,0.0018965336
7,0,A0006_S89_L002,Microglia,0.015430614
8,0,A0006_S89_L002,Mono,0.015609509
9,0,A0006_S89_L002,NK,0.002828291
10,0,A0006_S89_L002,NKT,0.0015955083
11,0,A0006_S89_L002,NPY+LAMP5+ IN,0.0023268329
12,0,A0006_S89_L002,OPC,0.005907616
13,0,A0006_S89_L002,Oligo,0.018664144
14,0,A0006_S89_L002,PVALB+ IN,0.04876175
15,0,A0006_S89_L002,Plasma BC,0.004814304
16,0,A0006_S89_L002,RELN+ IN,0.0016040645
17,0,A0006_S89_L002,SST+ IN,0.012061832
18,0,A0006_S89_L002,VIP+ IN,0.0028579757
19,0,A0020_S88_L002,Astro,0.11442429
20,0,A0020_S88_L002,BC,0.0050769956
21,0,A0020_S88_L002,CD4+ TC,0.010966759
22,0,A0020_S88_L002,CD8+ TC,0.0029098527
23,0,A0020_S88_L002,EX,0.5997498
24,0,A0020_S88_L002,Erythrocyte,0.0045228805
25,0,A0020_S88_L002,LAMP5+ IN,0.0017346389
26,0,A0020_S88_L002,Microglia,0.020015763
27,0,A0020_S88_L002,Mono,0.015800279
28,0,A0020_S88_L002,NK,0.0044330107
29,0,A0020_S88_L002,NKT,0.006143986
30,0,A0020_S88_L002,NPY+LAMP5+ IN,0.012146922
31,0,A0020_S88_L002,OPC,0.0127984965
32,0,A0020_S88_L002,Oligo,0.016824586
33,0,A0020_S88_L002,PVALB+ IN,0.01004634
34,0,A0020_S88_L002,Plasma BC,0.00041214316
35,0,A0020_S88_L002,RELN+ IN,0.0014351837
36,0,A0020_S88_L002,SST+ IN,0.024957918
37,0,A0020_S88_L002,VIP+ IN,0.01556003
38,0,A0034_S87_L002,Astro,0.07711299
39,0,A0034_S87_L002,BC,0.009404083
40,0,A0034_S87_L002,CD4+ TC,0.0037684278
41,0,A0034_S87_L002,CD8+ TC,0.00399707
42,0,A0034_S87_L002,EX,0.5907742
43,0,A0034_S87_L002,Erythrocyte,0.0019946694
