,quantile,sample,celltype,values
0,0,A0013_S47_L001,Adipo,0.06791515
1,0,A0013_S47_L001,BC,0.06812787
2,0,A0013_S47_L001,CD4+ TC,0.0026280363
3,0,A0013_S47_L001,CD8+ TC,0.13549352
4,0,A0013_S47_L001,Endo,0.12412138
5,0,A0013_S47_L001,Erythrocyte,0.0063219965
6,0,A0013_S47_L001,Keratinocyte,0.010359377
7,0,A0013_S47_L001,Macro,0.1402128
8,0,A0013_S47_L001,Mast,0.020768
9,0,A0013_S47_L001,Melanocyte,0.018405376
10,0,A0013_S47_L001,Mono,0.026341774
11,0,A0013_S47_L001,NK,0.0022480781
12,0,A0013_S47_L001,NKT,0.00411305
13,0,A0013_S47_L001,Pericyte,0.010574231
14,0,A0013_S47_L001,Plasma BC,0.0043295384
15,0,A0013_S47_L001,SMC,0.032594472
16,0,A0013_S47_L001,Schwann,0.006675001
17,0,A0013_S47_L001,Sebocyte,0.020250378
18,0,A0013_S47_L001,Stromal,0.09349196
19,0,A0013_S47_L001,TC,0.008626604
20,0,A0014,Adipo,0.06585201
21,0,A0014,BC,0.068000354
22,0,A0014,CD4+ TC,0.00873946
23,0,A0014,CD8+ TC,0.13573748
24,0,A0014,Endo,0.07607891
25,0,A0014,Erythrocyte,0.006922333
26,0,A0014,Keratinocyte,0.047235318
27,0,A0014,Macro,0.1340108
28,0,A0014,Mast,0.023714554
29,0,A0014,Melanocyte,0.024375523
30,0,A0014,Mono,0.016888568
31,0,A0014,NK,0.0025769104
32,0,A0014,NKT,0.003466063
33,0,A0014,Pericyte,0.0141452225
34,0,A0014,Plasma BC,0.008690505
35,0,A0014,SMC,0.02962404
36,0,A0014,Schwann,0.018119508
37,0,A0014,Sebocyte,0.0124173425
38,0,A0014,Stromal,0.07000679
39,0,A0014,TC,0.006250166
40,0,A0055_S46_L001,Adipo,0.07483049
41,0,A0055_S46_L001,BC,0.06738966
42,0,A0055_S46_L001,CD4+ TC,0.004789966
43,0,A0055_S46_L001,CD8+ TC,0.13487154
44,0,A0055_S46_L001,Endo,0.050627045
45,0,A0055_S46_L001,Erythrocyte,0.0030547061
46,0,A0055_S46_L001,Keratinocyte,0.00028301287
47,0,A0055_S46_L001,Macro,0.25014043
48,0,A0055_S46_L001,Mast,0.011642819
