,Time,Component,percent
0,0.0,Adipo,0.10271734
1,0.008008008,Adipo,0.10270903
2,0.016016016,Adipo,0.10270101
3,0.024024025,Adipo,0.10269327
4,0.03203203,Adipo,0.1026858
5,0.04004004,Adipo,0.102678664
6,0.04804805,Adipo,0.10267178
7,0.056056056,Adipo,0.10266522
8,0.06406406,Adipo,0.10265892
9,0.072072074,Adipo,0.10265292
10,0.08008008,Adipo,0.10264722
11,0.08808809,Adipo,0.10264179
12,0.0960961,Adipo,0.10263667
13,0.1041041,Adipo,0.10263183
14,0.11211211,Adipo,0.102627285
15,0.12012012,Adipo,0.102623016
16,0.12812813,Adipo,0.10261905
17,0.13613613,Adipo,0.10261536
18,0.14414415,Adipo,0.10261197
19,0.15215215,Adipo,0.10260885
20,0.16016015,Adipo,0.102606036
21,0.16816816,Adipo,0.1026035
22,0.17617618,Adipo,0.10260125
23,0.18418418,Adipo,0.10259928
24,0.1921922,Adipo,0.10259758
25,0.2002002,Adipo,0.10259618
26,0.20820822,Adipo,0.10259504
27,0.21621622,Adipo,0.102594204
28,0.22422422,Adipo,0.10259366
29,0.23223224,Adipo,0.10259336
30,0.24024025,Adipo,0.10259336
31,0.24824825,Adipo,0.10259361
32,0.25625625,Adipo,0.10259417
33,0.26426426,Adipo,0.10259499
34,0.27227226,Adipo,0.10259609
35,0.2802803,Adipo,0.10259743
36,0.2882883,Adipo,0.10259904
37,0.2962963,Adipo,0.102600954
38,0.3043043,Adipo,0.10260313
39,0.3123123,Adipo,0.10260557
40,0.3203203,Adipo,0.10260826
41,0.3283283,Adipo,0.10261122
42,0.3363363,Adipo,0.10261444
43,0.34434432,Adipo,0.10261793
44,0.35235235,Adipo,0.102621675
45,0.36036035,Adipo,0.10262568
46,0.36836836,Adipo,0.10262993
47,0.37637636,Adipo,0.10263446
48,0.3843844,Adipo,0.10263921
49,0.3923924,Adipo,0.10264423
50,0.4004004,Adipo,0.1026495
51,0.4084084,Adipo,0.102655016
52,0.41641644,Adipo,0.10266077
53,0.42442444,Adipo,0.102666765
54,0.43243244,Adipo,0.10267302
55,0.44044045,Adipo,0.1026795
56,0.44844845,Adipo,0.10268621
57,0.45645645,Adipo,0.10269318
58,0.46446446,Adipo,0.10270039
59,0.4724725,Adipo,0.102707826
60,0.4804805,Adipo,0.10271548
61,0.4884885,Adipo,0.10272336
62,0.4964965,Adipo,0.10273148
63,0.5045045,Adipo,0.102739826
64,0.5125125,Adipo,0.10274838
65,0.5205205,Adipo,0.10275718
66,0.5285285,Adipo,0.10276617
67,0.5365365,Adipo,0.102775395
