,Time,Component,percent
0,0.0,BC,0.2035755
1,0.008008008,BC,0.20382334
2,0.016016016,BC,0.20406798
3,0.024024025,BC,0.20430937
4,0.03203203,BC,0.20454751
5,0.04004004,BC,0.20478246
6,0.04804805,BC,0.20501392
7,0.056056056,BC,0.20524211
8,0.06406406,BC,0.20546685
9,0.072072074,BC,0.20568812
10,0.08008008,BC,0.20590596
11,0.08808809,BC,0.20612033
12,0.0960961,BC,0.20633107
13,0.1041041,BC,0.20653823
14,0.11211211,BC,0.20674178
15,0.12012012,BC,0.20694166
16,0.12812813,BC,0.20713791
17,0.13613613,BC,0.20733033
18,0.14414415,BC,0.20751913
19,0.15215215,BC,0.20770404
20,0.16016015,BC,0.20788513
21,0.16816816,BC,0.2080624
22,0.17617618,BC,0.20823573
23,0.18418418,BC,0.20840527
24,0.1921922,BC,0.20857085
25,0.2002002,BC,0.20873243
26,0.20820822,BC,0.20889
27,0.21621622,BC,0.20904356
28,0.22422422,BC,0.20919305
29,0.23223224,BC,0.20933858
30,0.24024025,BC,0.20947999
31,0.24824825,BC,0.20961714
32,0.25625625,BC,0.20975031
33,0.26426426,BC,0.20987941
34,0.27227226,BC,0.21000406
35,0.2802803,BC,0.21012479
36,0.2882883,BC,0.21024115
37,0.2962963,BC,0.21035327
38,0.3043043,BC,0.21046129
39,0.3123123,BC,0.21056484
40,0.3203203,BC,0.21066427
41,0.3283283,BC,0.21075924
42,0.3363363,BC,0.21085006
43,0.34434432,BC,0.21093646
44,0.35235235,BC,0.2110185
45,0.36036035,BC,0.21109624
46,0.36836836,BC,0.21116969
47,0.37637636,BC,0.2112387
48,0.3843844,BC,0.21130332
49,0.3923924,BC,0.21136369
50,0.4004004,BC,0.21141951
51,0.4084084,BC,0.211471
52,0.41641644,BC,0.21151814
53,0.42442444,BC,0.21156079
54,0.43243244,BC,0.21159916
55,0.44044045,BC,0.21163301
56,0.44844845,BC,0.21166252
57,0.45645645,BC,0.21168765
58,0.46446446,BC,0.21170834
59,0.4724725,BC,0.2117246
60,0.4804805,BC,0.21173652
61,0.4884885,BC,0.21174414
62,0.4964965,BC,0.21174715
63,0.5045045,BC,0.21174595
64,0.5125125,BC,0.21174024
65,0.5205205,BC,0.21173032
66,0.5285285,BC,0.21171583
67,0.5365365,BC,0.21169725
68,0.5445445,BC,0.21167418
69,0.5525525,BC,0.21164696
70,0.5605606,BC,0.21161523
71,0.5685686,BC,0.21157937
72,0.5765766,BC,0.21153913
73,0.5845846,BC,0.21149468
74,0.5925926,BC,0.211446
75,0.6006006,BC,0.21139306
76,0.6086086,BC,0.21133594
77,0.6166166,BC,0.2112746
78,0.6246246,BC,0.2112092
79,0.6326327,BC,0.21113962
80,0.6406406,BC,0.21106586
81,0.6486486,BC,0.21098799
82,0.6566566,BC,0.21090604
83,0.6646646,BC,0.21082026
84,0.6726726,BC,0.2107303
85,0.68068063,BC,0.21063645
86,0.68868864,BC,0.21053854
87,0.6966967,BC,0.21043678
