,Time,Component,percent
0,0.0,BC,0.12985753
1,0.008008008,BC,0.12987186
2,0.016016016,BC,0.1298866
3,0.024024025,BC,0.12990177
4,0.03203203,BC,0.12991734
5,0.04004004,BC,0.12993337
6,0.04804805,BC,0.12994975
7,0.056056056,BC,0.12996662
8,0.06406406,BC,0.12998389
9,0.072072074,BC,0.13000163
10,0.08008008,BC,0.13001978
11,0.08808809,BC,0.13003841
12,0.0960961,BC,0.13005748
13,0.1041041,BC,0.130077
14,0.11211211,BC,0.130097
15,0.12012012,BC,0.13011745
16,0.12812813,BC,0.1301384
17,0.13613613,BC,0.13015977
18,0.14414415,BC,0.13018167
19,0.15215215,BC,0.13020404
20,0.16016015,BC,0.1302269
21,0.16816816,BC,0.13025025
22,0.17617618,BC,0.13027409
23,0.18418418,BC,0.13029845
24,0.1921922,BC,0.13032334
25,0.2002002,BC,0.1303487
26,0.20820822,BC,0.13037454
27,0.21621622,BC,0.13040096
28,0.22422422,BC,0.13042791
29,0.23223224,BC,0.13045534
30,0.24024025,BC,0.13048334
31,0.24824825,BC,0.1305119
32,0.25625625,BC,0.13054097
33,0.26426426,BC,0.13057059
34,0.27227226,BC,0.13060072
35,0.2802803,BC,0.13063149
36,0.2882883,BC,0.13066275
37,0.2962963,BC,0.13069461
38,0.3043043,BC,0.13072701
39,0.3123123,BC,0.13076001
40,0.3203203,BC,0.13079359
41,0.3283283,BC,0.13082772
42,0.3363363,BC,0.13086246
43,0.34434432,BC,0.13089778
44,0.35235235,BC,0.13093369
45,0.36036035,BC,0.13097021
46,0.36836836,BC,0.13100731
47,0.37637636,BC,0.13104506
48,0.3843844,BC,0.13108338
49,0.3923924,BC,0.13112234
50,0.4004004,BC,0.1311619
51,0.4084084,BC,0.13120209
52,0.41641644,BC,0.13124293
53,0.42442444,BC,0.1312844
54,0.43243244,BC,0.13132647
55,0.44044045,BC,0.13136923
56,0.44844845,BC,0.13141263
57,0.45645645,BC,0.13145664
58,0.46446446,BC,0.13150132
59,0.4724725,BC,0.13154668
60,0.4804805,BC,0.13159269
61,0.4884885,BC,0.13163939
62,0.4964965,BC,0.13168675
63,0.5045045,BC,0.13173479
64,0.5125125,BC,0.13178352
65,0.5205205,BC,0.13183291
66,0.5285285,BC,0.13188303
67,0.5365365,BC,0.13193382
68,0.5445445,BC,0.13198534
69,0.5525525,BC,0.13203752
70,0.5605606,BC,0.13209045
71,0.5685686,BC,0.13214406
72,0.5765766,BC,0.13219845
73,0.5845846,BC,0.13225351
74,0.5925926,BC,0.13230932
75,0.6006006,BC,0.13236585
76,0.6086086,BC,0.13242315
77,0.6166166,BC,0.13248116
78,0.6246246,BC,0.13253993
79,0.6326327,BC,0.13259946
80,0.6406406,BC,0.13265973
81,0.6486486,BC,0.13272078
82,0.6566566,BC,0.1327826
83,0.6646646,BC,0.13284518
84,0.6726726,BC,0.13290855
85,0.68068063,BC,0.1329727
