,quantile,sample,celltype,values
0,0,A0008_S140_L002,BC,0.058135748
1,0,A0008_S140_L002,CD4+ TC,0.22021073
2,0,A0008_S140_L002,CD8+ TC,0.19017456
3,0,A0008_S140_L002,Cycling BC,0.0065441625
4,0,A0008_S140_L002,Erythrocyte,0.013246049
5,0,A0008_S140_L002,Mature BC,0.03527364
6,0,A0008_S140_L002,Mono,0.2027045
7,0,A0008_S140_L002,NK,0.008935298
8,0,A0008_S140_L002,NKT,0.0076678377
9,0,A0008_S140_L002,Plasma BC,0.020298742
10,0,A0008_S140_L002,Pre BC,0.052808866
11,0,A0008_S140_L002,mDC,0.0451344
12,0,A0009_S139_L002,BC,0.061911266
13,0,A0009_S139_L002,CD4+ TC,0.13520876
14,0,A0009_S139_L002,CD8+ TC,0.18979888
15,0,A0009_S139_L002,Cycling BC,0.0077210246
16,0,A0009_S139_L002,Erythrocyte,0.011201996
17,0,A0009_S139_L002,Mature BC,0.031064948
18,0,A0009_S139_L002,Mono,0.22998793
19,0,A0009_S139_L002,NK,0.011310742
20,0,A0009_S139_L002,NKT,0.00902027
21,0,A0009_S139_L002,Plasma BC,0.026664518
22,0,A0009_S139_L002,Pre BC,0.06832544
23,0,A0009_S139_L002,mDC,0.06421752
24,0,A0010_S19_L001,BC,0.039473135
25,0,A0010_S19_L001,CD4+ TC,0.42275295
26,0,A0010_S19_L001,CD8+ TC,0.20444398
27,0,A0010_S19_L001,Cycling BC,0.005203409
28,0,A0010_S19_L001,Erythrocyte,0.004731241
29,0,A0010_S19_L001,Mature BC,0.034492597
30,0,A0010_S19_L001,Mono,0.097426936
31,0,A0010_S19_L001,NK,0.0038298492
32,0,A0010_S19_L001,NKT,0.003058034
33,0,A0010_S19_L001,Plasma BC,0.008478057
34,0,A0010_S19_L001,Pre BC,0.033961907
35,0,A0010_S19_L001,mDC,0.02626971
36,0,A0022_S185_L002,BC,0.12195817
37,0,A0022_S185_L002,CD4+ TC,0.29542005
38,0,A0022_S185_L002,CD8+ TC,0.04456252
39,0,A0022_S185_L002,Cycling BC,0.02444412
40,0,A0022_S185_L002,Erythrocyte,0.005055262
41,0,A0022_S185_L002,Mature BC,0.06294766
42,0,A0022_S185_L002,Mono,0.10514274
43,0,A0022_S185_L002,NK,0.018714964
44,0,A0022_S185_L002,NKT,0.0118085155
45,0,A0022_S185_L002,Plasma BC,0.007624758
46,0,A0022_S185_L002,Pre BC,0.11830215
47,0,A0022_S185_L002,mDC,0.05868272
48,0,A0023_S184_L002,BC,0.13635717
49,0,A0023_S184_L002,CD4+ TC,0.28573903
50,0,A0023_S184_L002,CD8+ TC,0.04953155
51,0,A0023_S184_L002,Cycling BC,0.014046535
52,0,A0023_S184_L002,Erythrocyte,0.005244813
53,0,A0023_S184_L002,Mature BC,0.041812915
54,0,A0023_S184_L002,Mono,0.109796904
55,0,A0023_S184_L002,NK,0.018681716
56,0,A0023_S184_L002,NKT,0.012067144
57,0,A0023_S184_L002,Plasma BC,0.007728523
58,0,A0023_S184_L002,Pre BC,0.12162429
59,0,A0023_S184_L002,mDC,0.04578156
60,0,A0024_S183_L002,BC,0.11512444
61,0,A0024_S183_L002,CD4+ TC,0.5327524
62,0,A0024_S183_L002,CD8+ TC,0.03711544
63,0,A0024_S183_L002,Cycling BC,0.028785875
64,0,A0024_S183_L002,Erythrocyte,0.006231687
65,0,A0024_S183_L002,Mature BC,0.04791182
66,0,A0024_S183_L002,Mono,0.032774106
67,0,A0024_S183_L002,NK,0.0036851305
68,0,A0024_S183_L002,NKT,0.0052582216
69,0,A0024_S183_L002,Plasma BC,0.0071153473
70,0,A0024_S183_L002,Pre BC,0.055605922
71,0,A0024_S183_L002,mDC,0.01453143
72,0,A0036_S182_L002,BC,0.049596056
73,0,A0036_S182_L002,CD4+ TC,0.36105016
74,0,A0036_S182_L002,CD8+ TC,0.054154262
75,0,A0036_S182_L002,Cycling BC,0.008018555
76,0,A0036_S182_L002,Erythrocyte,0.0037972266
77,0,A0036_S182_L002,Mature BC,0.032881733
78,0,A0036_S182_L002,Mono,0.17262325
79,0,A0036_S182_L002,NK,0.017334512
80,0,A0036_S182_L002,NKT,0.011276625
81,0,A0036_S182_L002,Plasma BC,0.010043648
82,0,A0036_S182_L002,Pre BC,0.0871823
83,0,A0036_S182_L002,mDC,0.05639395
84,0,A0037_S181_L002,BC,0.1099653
85,0,A0037_S181_L002,CD4+ TC,0.31801274
86,0,A0037_S181_L002,CD8+ TC,0.047825474
87,0,A0037_S181_L002,Cycling BC,0.019297177
88,0,A0037_S181_L002,Erythrocyte,0.01304531
89,0,A0037_S181_L002,Mature BC,0.030287879
90,0,A0037_S181_L002,Mono,0.16062768
91,0,A0037_S181_L002,NK,0.01420993
92,0,A0037_S181_L002,NKT,0.016717756
93,0,A0037_S181_L002,Plasma BC,0.01577264
94,0,A0037_S181_L002,Pre BC,0.06901894
95,0,A0037_S181_L002,mDC,0.05527483
96,0,A0038_S180_L002,BC,0.0669024
97,0,A0038_S180_L002,CD4+ TC,0.24595407
98,0,A0038_S180_L002,CD8+ TC,0.013484216
99,0,A0038_S180_L002,Cycling BC,0.00067826593
