"","ensembl_gene_id_version","ensembl_gene_id","external_gene_name"
"80","ENSMMUG00000000932.4","ENSMMUG00000000932","PPP2R3A"
"81","ENSMMUG00000000933.4","ENSMMUG00000000933","MSL2"
"82","ENSMMUG00000000949.4","ENSMMUG00000000949","FGF12"
"83","ENSMMUG00000000952.4","ENSMMUG00000000952","C1H1orf94"
"84","ENSMMUG00000000972.4","ENSMMUG00000000972","TNK2"
"85","ENSMMUG00000000984.4","ENSMMUG00000000984","VILL"
"86","ENSMMUG00000000985.4","ENSMMUG00000000985","PLCD1"
"87","ENSMMUG00000000987.4","ENSMMUG00000000987","DLEC1"
"88","ENSMMUG00000000990.4","ENSMMUG00000000990","ACAA1"
"89","ENSMMUG00000000995.4","ENSMMUG00000000995","MYD88"
"90","ENSMMUG00000000996.3","ENSMMUG00000000996","OXSR1"
"91","ENSMMUG00000001021.4","ENSMMUG00000001021","MIA3"
"92","ENSMMUG00000001024.4","ENSMMUG00000001024","ELK4"
"93","ENSMMUG00000001028.4","ENSMMUG00000001028","SNRK"
"94","ENSMMUG00000001029.4","ENSMMUG00000001029","ANO10"
"95","ENSMMUG00000001031.4","ENSMMUG00000001031","ABHD5"
"96","ENSMMUG00000001034.4","ENSMMUG00000001034","ZMYND12"
"97","ENSMMUG00000001060.4","ENSMMUG00000001060","RYR2"
"98","ENSMMUG00000001074.4","ENSMMUG00000001074","ULK4"
"99","ENSMMUG00000001075.4","ENSMMUG00000001075","TRAK1"
"100","ENSMMUG00000001077.4","ENSMMUG00000001077","CCK"
"101","ENSMMUG00000001096.4","ENSMMUG00000001096","TCAIM"
"102","ENSMMUG00000001103.4","ENSMMUG00000001103","GPR87"
"103","ENSMMUG00000001105.4","ENSMMUG00000001105","P2RY12"
"104","ENSMMUG00000001107.4","ENSMMUG00000001107","IGSF10"
"105","ENSMMUG00000001152.4","ENSMMUG00000001152","NUF2"
"106","ENSMMUG00000001154.4","ENSMMUG00000001154","NUDT16"
"107","ENSMMUG00000001185.4","ENSMMUG00000001185","TRA2B"
"108","ENSMMUG00000001216.4","ENSMMUG00000001216","MPZ"
"109","ENSMMUG00000001264.4","ENSMMUG00000001264","BSDC1"
"110","ENSMMUG00000001297.4","ENSMMUG00000001297","CADM3"
"111","ENSMMUG00000001300.4","ENSMMUG00000001300","ACKR1"
"112","ENSMMUG00000001302.4","ENSMMUG00000001302","SI"
"113","ENSMMUG00000001380.4","ENSMMUG00000001380","ODF2L"
"114","ENSMMUG00000001382.4","ENSMMUG00000001382","GJA8"
"115","ENSMMUG00000001415.4","ENSMMUG00000001415","DIO1"
"116","ENSMMUG00000001434.4","ENSMMUG00000001434","ZYG11B"
"117","ENSMMUG00000001443.4","ENSMMUG00000001443","CMTM6"
"118","ENSMMUG00000001456.4","ENSMMUG00000001456","MCF2L2"
"119","ENSMMUG00000001479.4","ENSMMUG00000001479","LAMC2"
"120","ENSMMUG00000001481.3","ENSMMUG00000001481","NMNAT2"
"121","ENSMMUG00000001549.4","ENSMMUG00000001549",""
"122","ENSMMUG00000001551.4","ENSMMUG00000001551","SSU72"
"123","ENSMMUG00000001565.4","ENSMMUG00000001565","RABGAP1L"
"124","ENSMMUG00000001569.4","ENSMMUG00000001569","IFI44L"
"125","ENSMMUG00000001571.4","ENSMMUG00000001571","CACYBP"
"126","ENSMMUG00000001610.4","ENSMMUG00000001610","ATP13A2"
"127","ENSMMUG00000001614.4","ENSMMUG00000001614","SDHB"
"128","ENSMMUG00000001616.4","ENSMMUG00000001616","PADI2"
"129","ENSMMUG00000001664.4","ENSMMUG00000001664","AADAC"
"130","ENSMMUG00000001686.4","ENSMMUG00000001686","SLC44A3"
"131","ENSMMUG00000001690.4","ENSMMUG00000001690","CNN3"
"132","ENSMMUG00000001742.4","ENSMMUG00000001742","TGFBR3"
"133","ENSMMUG00000001803.4","ENSMMUG00000001803","GJA5"
"134","ENSMMUG00000001817.3","ENSMMUG00000001817","HES4"
"135","ENSMMUG00000001831.4","ENSMMUG00000001831","IPP"
"136","ENSMMUG00000001859.4","ENSMMUG00000001859","GJB5"
"137","ENSMMUG00000001860.3","ENSMMUG00000001860","GJB4"
"138","ENSMMUG00000001869.4","ENSMMUG00000001869","SNAP47"
"139","ENSMMUG00000001891.4","ENSMMUG00000001891","MMP23B"
"140","ENSMMUG00000001894.4","ENSMMUG00000001894",""
"141","ENSMMUG00000001896.4","ENSMMUG00000001896","GNB1"
"142","ENSMMUG00000001908.4","ENSMMUG00000001908","NAV1"
"143","ENSMMUG00000001910.4","ENSMMUG00000001910","HSPB7"
"144","ENSMMUG00000001911.4","ENSMMUG00000001911","SRARP"
"145","ENSMMUG00000001915.4","ENSMMUG00000001915","CLDN1"
"146","ENSMMUG00000001916.4","ENSMMUG00000001916","IPO9"
"147","ENSMMUG00000001921.4","ENSMMUG00000001921","SHISA4"
"148","ENSMMUG00000001923.4","ENSMMUG00000001923","LMOD1"
"149","ENSMMUG00000001924.4","ENSMMUG00000001924","TIMM17A"
"150","ENSMMUG00000001926.4","ENSMMUG00000001926","RNPEP"
"151","ENSMMUG00000001929.4","ENSMMUG00000001929","ELF3"
"152","ENSMMUG00000001960.4","ENSMMUG00000001960","GPBP1L1"
"153","ENSMMUG00000001966.4","ENSMMUG00000001966","C1H1orf68"
"154","ENSMMUG00000001967.4","ENSMMUG00000001967","LCE5A"
"155","ENSMMUG00000001973.4","ENSMMUG00000001973","SIKE1"
"156","ENSMMUG00000001974.4","ENSMMUG00000001974","CSDE1"
"157","ENSMMUG00000001978.4","ENSMMUG00000001978","AMPD1"
"158","ENSMMUG00000001996.4","ENSMMUG00000001996","F11R"
"159","ENSMMUG00000002001.4","ENSMMUG00000002001","TSTD1"
"160","ENSMMUG00000002003.4","ENSMMUG00000002003","USF1"
"161","ENSMMUG00000002005.4","ENSMMUG00000002005","ARHGAP30"
"162","ENSMMUG00000002007.4","ENSMMUG00000002007","KLHDC9"
"163","ENSMMUG00000002009.4","ENSMMUG00000002009","NIT1"
"164","ENSMMUG00000002010.4","ENSMMUG00000002010","DEDD"
"165","ENSMMUG00000002021.4","ENSMMUG00000002021","BDH1"
"166","ENSMMUG00000002047.4","ENSMMUG00000002047","THAP3"
"167","ENSMMUG00000002052.4","ENSMMUG00000002052","SPSB1"
"168","ENSMMUG00000002105.4","ENSMMUG00000002105","ZP4"
"169","ENSMMUG00000002114.4","ENSMMUG00000002114","TFRC"
"170","ENSMMUG00000002130.4","ENSMMUG00000002130","SACM1L"
"171","ENSMMUG00000002135.4","ENSMMUG00000002135","CEP350"
"172","ENSMMUG00000002141.4","ENSMMUG00000002141","PACC1"
"173","ENSMMUG00000002142.4","ENSMMUG00000002142","NENF"
"174","ENSMMUG00000002171.4","ENSMMUG00000002171","KIF1B"
"175","ENSMMUG00000002200.4","ENSMMUG00000002200","PLPP3"
"176","ENSMMUG00000002217.4","ENSMMUG00000002217","ALPL"
"177","ENSMMUG00000002218.4","ENSMMUG00000002218","RAP1GAP"
"178","ENSMMUG00000002219.4","ENSMMUG00000002219","RBP7"
"179","ENSMMUG00000002227.4","ENSMMUG00000002227","ENAH"
"180","ENSMMUG00000002242.4","ENSMMUG00000002242","MECOM"
"181","ENSMMUG00000002254.4","ENSMMUG00000002254","RHEX"
"182","ENSMMUG00000002259.4","ENSMMUG00000002259","SENP5"
"183","ENSMMUG00000002261.4","ENSMMUG00000002261","FBXO2"
"184","ENSMMUG00000002285.4","ENSMMUG00000002285","GALNT2"
"185","ENSMMUG00000002287.4","ENSMMUG00000002287","PGBD5"
"186","ENSMMUG00000002295.4","ENSMMUG00000002295","CRABP2"
"187","ENSMMUG00000002339.4","ENSMMUG00000002339","USP1"
"188","ENSMMUG00000002340.4","ENSMMUG00000002340","DOCK7"
"189","ENSMMUG00000002350.4","ENSMMUG00000002350","IFI44"
"190","ENSMMUG00000002387.4","ENSMMUG00000002387","FGGY"
"191","ENSMMUG00000002400.4","ENSMMUG00000002400","DEGS1"
"192","ENSMMUG00000002416.4","ENSMMUG00000002416","CLIC4"
"193","ENSMMUG00000002420.4","ENSMMUG00000002420","RUNX3"
"194","ENSMMUG00000002454.3","ENSMMUG00000002454",""
"195","ENSMMUG00000002455.4","ENSMMUG00000002455","CHI3L2"
"196","ENSMMUG00000002461.4","ENSMMUG00000002461","CEPT1"
"197","ENSMMUG00000002492.4","ENSMMUG00000002492","TMCO4"
"198","ENSMMUG00000002516.4","ENSMMUG00000002516","ADGRL2"
"199","ENSMMUG00000002526.4","ENSMMUG00000002526","IKBKE"
"200","ENSMMUG00000002528.4","ENSMMUG00000002528","EIF2D"
"201","ENSMMUG00000002555.4","ENSMMUG00000002555","KDF1"
"202","ENSMMUG00000002585.4","ENSMMUG00000002585","CCDC190"
"203","ENSMMUG00000002621.4","ENSMMUG00000002621","IQGAP3"
"204","ENSMMUG00000002622.4","ENSMMUG00000002622","TTC24"
"205","ENSMMUG00000002623.3","ENSMMUG00000002623","NAXE"
"206","ENSMMUG00000002624.4","ENSMMUG00000002624","GPATCH4"
"207","ENSMMUG00000002642.4","ENSMMUG00000002642","CFAP57"
"208","ENSMMUG00000002680.4","ENSMMUG00000002680","CSF1"
"209","ENSMMUG00000002684.4","ENSMMUG00000002684","ADIPOQ"
"210","ENSMMUG00000002696.4","ENSMMUG00000002696","GATAD2B"
"211","ENSMMUG00000002714.4","ENSMMUG00000002714","UQCRH"
"212","ENSMMUG00000002741.4","ENSMMUG00000002741","CSMD2"
"213","ENSMMUG00000002752.4","ENSMMUG00000002752","RPE65"
"214","ENSMMUG00000002775.4","ENSMMUG00000002775","U2SURP"
"215","ENSMMUG00000002779.3","ENSMMUG00000002779","CHST2"
"216","ENSMMUG00000002789.4","ENSMMUG00000002789","SLC25A24"
"217","ENSMMUG00000002791.4","ENSMMUG00000002791","C1H1orf35"
"218","ENSMMUG00000002794.4","ENSMMUG00000002794","GTF2B"
"219","ENSMMUG00000002802.4","ENSMMUG00000002802","AGMAT"
"220","ENSMMUG00000002827.4","ENSMMUG00000002827",""
"221","ENSMMUG00000002892.4","ENSMMUG00000002892","RXRG"
"222","ENSMMUG00000002899.4","ENSMMUG00000002899","FUBP1"
"223","ENSMMUG00000002907.4","ENSMMUG00000002907","CTDSPL"
"224","ENSMMUG00000002932.4","ENSMMUG00000002932","DPT"
"225","ENSMMUG00000002953.4","ENSMMUG00000002953","MAGEF1"
"226","ENSMMUG00000002968.4","ENSMMUG00000002968","SYF2"
"227","ENSMMUG00000002970.4","ENSMMUG00000002970","RSRP1"
"228","ENSMMUG00000002981.4","ENSMMUG00000002981","TAS1R2"
"229","ENSMMUG00000003048.4","ENSMMUG00000003048","MRPS22"
"230","ENSMMUG00000003051.4","ENSMMUG00000003051","COPB2"
"231","ENSMMUG00000003113.4","ENSMMUG00000003113","PATJ"
"232","ENSMMUG00000003148.4","ENSMMUG00000003148","MPL"
"233","ENSMMUG00000003149.4","ENSMMUG00000003149","CDC20"
"234","ENSMMUG00000003168.4","ENSMMUG00000003168","OR10K2"
"235","ENSMMUG00000003169.4","ENSMMUG00000003169","CLSTN2"
"236","ENSMMUG00000003173.4","ENSMMUG00000003173","ELOA"
"237","ENSMMUG00000003191.4","ENSMMUG00000003191","KIRREL1"
"238","ENSMMUG00000003216.3","ENSMMUG00000003216","ZMAT3"
"239","ENSMMUG00000003262.4","ENSMMUG00000003262","PCCB"
"240","ENSMMUG00000003263.4","ENSMMUG00000003263","STAG1"
"241","ENSMMUG00000003264.4","ENSMMUG00000003264","LEPROT"
"242","ENSMMUG00000003265.4","ENSMMUG00000003265","LEPR"
"243","ENSMMUG00000003267.4","ENSMMUG00000003267","ZNF362"
"244","ENSMMUG00000003268.4","ENSMMUG00000003268","A3GALT2"
"245","ENSMMUG00000003269.4","ENSMMUG00000003269","PHC2"
"246","ENSMMUG00000003277.4","ENSMMUG00000003277","CPNE4"
"247","ENSMMUG00000003304.4","ENSMMUG00000003304","EPHB3"
"248","ENSMMUG00000003309.4","ENSMMUG00000003309","OVGP1"
"249","ENSMMUG00000003343.4","ENSMMUG00000003343","AGO4"
"250","ENSMMUG00000003369.4","ENSMMUG00000003369","CAMK1G"
"251","ENSMMUG00000003442.4","ENSMMUG00000003442","ZNF326"
"252","ENSMMUG00000003457.4","ENSMMUG00000003457","PRKACB"
"253","ENSMMUG00000003472.4","ENSMMUG00000003472","LBR"
"254","ENSMMUG00000003486.4","ENSMMUG00000003486","RGS1"
"255","ENSMMUG00000003540.4","ENSMMUG00000003540","PPM1L"
"256","ENSMMUG00000003541.4","ENSMMUG00000003541","B3GALNT1"
"257","ENSMMUG00000003546.4","ENSMMUG00000003546","NDC1"
"258","ENSMMUG00000003579.4","ENSMMUG00000003579","C1H1orf162"
"259","ENSMMUG00000003581.4","ENSMMUG00000003581","TMIGD3"
"260","ENSMMUG00000003582.4","ENSMMUG00000003582","MXRA8"
"261","ENSMMUG00000003594.4","ENSMMUG00000003594","USP13"
"262","ENSMMUG00000003595.4","ENSMMUG00000003595","PEX5L"
"263","ENSMMUG00000003636.4","ENSMMUG00000003636","BTF3L4"
"264","ENSMMUG00000003647.4","ENSMMUG00000003647","KISS1"
"265","ENSMMUG00000003650.4","ENSMMUG00000003650","TMEM42"
"266","ENSMMUG00000003673.4","ENSMMUG00000003673","PM20D1"
"267","ENSMMUG00000003700.4","ENSMMUG00000003700","KNG1"
"268","ENSMMUG00000003702.4","ENSMMUG00000003702","EIF4A2"
"269","ENSMMUG00000003704.4","ENSMMUG00000003704","RFC4"
"270","ENSMMUG00000003727.4","ENSMMUG00000003727","EXTL2"
"271","ENSMMUG00000003728.4","ENSMMUG00000003728","SLC30A7"
"272","ENSMMUG00000003742.4","ENSMMUG00000003742","BCHE"
"273","ENSMMUG00000003768.4","ENSMMUG00000003768","SOAT1"
"274","ENSMMUG00000003769.4","ENSMMUG00000003769","AXDND1"
"275","ENSMMUG00000003770.4","ENSMMUG00000003770","NPHS2"
"276","ENSMMUG00000003773.4","ENSMMUG00000003773","CEP19"
"277","ENSMMUG00000003774.4","ENSMMUG00000003774","PIGX"
"278","ENSMMUG00000003775.4","ENSMMUG00000003775","FCGR2A"
"279","ENSMMUG00000003786.4","ENSMMUG00000003786","WRAP73"
"280","ENSMMUG00000003887.4","ENSMMUG00000003887","CELA3B"
"281","ENSMMUG00000003902.4","ENSMMUG00000003902","THBS3"
"282","ENSMMUG00000003906.4","ENSMMUG00000003906","MUC1"
"283","ENSMMUG00000003927.4","ENSMMUG00000003927","PAQR9"
"284","ENSMMUG00000003987.4","ENSMMUG00000003987","FHAD1"
"285","ENSMMUG00000003998.4","ENSMMUG00000003998","PPP1R12B"
"286","ENSMMUG00000004001.4","ENSMMUG00000004001","SYT2"
"287","ENSMMUG00000004034.4","ENSMMUG00000004034","WDR53"
"288","ENSMMUG00000004035.4","ENSMMUG00000004035","RNF168"
"289","ENSMMUG00000004042.4","ENSMMUG00000004042","FCRLA"
"290","ENSMMUG00000004049.4","ENSMMUG00000004049","ATF6"
"291","ENSMMUG00000004053.4","ENSMMUG00000004053","ZBTB7B"
"292","ENSMMUG00000004070.4","ENSMMUG00000004070","RRP15"
"293","ENSMMUG00000004071.4","ENSMMUG00000004071","TGFB2"
"294","ENSMMUG00000004079.4","ENSMMUG00000004079","MFN1"
"295","ENSMMUG00000004083.4","ENSMMUG00000004083","GNB4"
"296","ENSMMUG00000004094.4","ENSMMUG00000004094","ACOT7"
"297","ENSMMUG00000004100.4","ENSMMUG00000004100","LEMD1"
"298","ENSMMUG00000004103.4","ENSMMUG00000004103","COL11A1"
"299","ENSMMUG00000004109.4","ENSMMUG00000004109","CDK18"
"300","ENSMMUG00000004113.4","ENSMMUG00000004113","MFSD4A"
"301","ENSMMUG00000004116.4","ENSMMUG00000004116","SLC45A3"
"302","ENSMMUG00000004149.4","ENSMMUG00000004149","EIF4G3"
"303","ENSMMUG00000004189.4","ENSMMUG00000004189","FNDC3B"
"304","ENSMMUG00000004194.3","ENSMMUG00000004194","GHSR"
"305","ENSMMUG00000004216.4","ENSMMUG00000004216","FUCA1"
"306","ENSMMUG00000004217.4","ENSMMUG00000004217","CNR2"
"307","ENSMMUG00000004240.4","ENSMMUG00000004240","SASS6"
"308","ENSMMUG00000004241.4","ENSMMUG00000004241","LRRC39"
"309","ENSMMUG00000004243.3","ENSMMUG00000004243","TRMT13"
"310","ENSMMUG00000004265.4","ENSMMUG00000004265","PLD5"
"311","ENSMMUG00000004266.4","ENSMMUG00000004266","KIF14"
"312","ENSMMUG00000004268.4","ENSMMUG00000004268","DDX59"
"313","ENSMMUG00000004318.4","ENSMMUG00000004318",""
"314","ENSMMUG00000004362.4","ENSMMUG00000004362","FCGR1A"
"315","ENSMMUG00000004379.4","ENSMMUG00000004379","DUSP10"
"316","ENSMMUG00000004404.4","ENSMMUG00000004404","RBMS3"
"317","ENSMMUG00000004441.3","ENSMMUG00000004441",""
"318","ENSMMUG00000004463.4","ENSMMUG00000004463","GRHL3"
"319","ENSMMUG00000004466.4","ENSMMUG00000004466","NIPAL3"
"320","ENSMMUG00000004488.4","ENSMMUG00000004488","PYHIN1"
"321","ENSMMUG00000004490.4","ENSMMUG00000004490","IFI16"
"322","ENSMMUG00000004492.4","ENSMMUG00000004492","AIM2"
"323","ENSMMUG00000004508.4","ENSMMUG00000004508",""
"324","ENSMMUG00000004509.4","ENSMMUG00000004509",""
"325","ENSMMUG00000004512.4","ENSMMUG00000004512","FCER1G"
"326","ENSMMUG00000004516.4","ENSMMUG00000004516","APOA2"
"327","ENSMMUG00000004520.4","ENSMMUG00000004520","NDUFS2"
"328","ENSMMUG00000004538.4","ENSMMUG00000004538","TRIM71"
"329","ENSMMUG00000004563.4","ENSMMUG00000004563","PLXNA2"
"330","ENSMMUG00000004564.4","ENSMMUG00000004564","TTC39A"
"331","ENSMMUG00000004566.4","ENSMMUG00000004566","ZNF124"
"332","ENSMMUG00000004576.4","ENSMMUG00000004576","CCR3"
"333","ENSMMUG00000004614.4","ENSMMUG00000004614","KCNC4"
"334","ENSMMUG00000004648.4","ENSMMUG00000004648","KHDC4"
"335","ENSMMUG00000004668.4","ENSMMUG00000004668","ROR1"
"336","ENSMMUG00000004671.4","ENSMMUG00000004671","NLGN1"
"337","ENSMMUG00000004677.3","ENSMMUG00000004677","AGTRAP"
"338","ENSMMUG00000004682.4","ENSMMUG00000004682","ZNF593"
"339","ENSMMUG00000004686.4","ENSMMUG00000004686","DNAJC11"
"340","ENSMMUG00000004706.4","ENSMMUG00000004706","IGSF9"
"341","ENSMMUG00000004707.4","ENSMMUG00000004707","SLAMF9"
"342","ENSMMUG00000004735.4","ENSMMUG00000004735","OSBPL9"
"343","ENSMMUG00000004738.4","ENSMMUG00000004738","NRDC"
"344","ENSMMUG00000004741.4","ENSMMUG00000004741","ZIC4"
"345","ENSMMUG00000004742.3","ENSMMUG00000004742","ZIC1"
"346","ENSMMUG00000004751.4","ENSMMUG00000004751","ALDH4A1"
"347","ENSMMUG00000004754.4","ENSMMUG00000004754","IFFO2"
"348","ENSMMUG00000004758.4","ENSMMUG00000004758","TLCD4"
"349","ENSMMUG00000004762.4","ENSMMUG00000004762","WDTC1"
"350","ENSMMUG00000004767.4","ENSMMUG00000004767","TMEM222"
"351","ENSMMUG00000004768.4","ENSMMUG00000004768","SYTL1"
"352","ENSMMUG00000004788.4","ENSMMUG00000004788","MAN1C1"
"353","ENSMMUG00000004790.4","ENSMMUG00000004790","SPATA46"
"354","ENSMMUG00000004832.3","ENSMMUG00000004832",""
"355","ENSMMUG00000004833.4","ENSMMUG00000004833",""
"356","ENSMMUG00000004835.4","ENSMMUG00000004835",""
"357","ENSMMUG00000004842.4","ENSMMUG00000004842","SLC22A14"
"358","ENSMMUG00000004847.4","ENSMMUG00000004847","XYLB"
"359","ENSMMUG00000004863.4","ENSMMUG00000004863","ATPAF1"
"360","ENSMMUG00000004864.4","ENSMMUG00000004864","TEX38"
"361","ENSMMUG00000004901.4","ENSMMUG00000004901","SEMA4A"
"362","ENSMMUG00000004902.4","ENSMMUG00000004902","BGLAP"
"363","ENSMMUG00000004907.4","ENSMMUG00000004907","TENT5C"
"364","ENSMMUG00000004933.4","ENSMMUG00000004933","METTL6"
"365","ENSMMUG00000004951.4","ENSMMUG00000004951","ECHDC2"
"366","ENSMMUG00000004952.4","ENSMMUG00000004952","SCP2"
"367","ENSMMUG00000004956.4","ENSMMUG00000004956","RSRC1"
"368","ENSMMUG00000004958.4","ENSMMUG00000004958","MLF1"
"369","ENSMMUG00000004961.4","ENSMMUG00000004961","GFM1"
"370","ENSMMUG00000004963.4","ENSMMUG00000004963","LXN"
"371","ENSMMUG00000004998.4","ENSMMUG00000004998","DLGAP3"
"372","ENSMMUG00000005000.4","ENSMMUG00000005000","ZMYM6"
"373","ENSMMUG00000005002.4","ENSMMUG00000005002","DENND4B"
"374","ENSMMUG00000005005.4","ENSMMUG00000005005","CRTC2"
"375","ENSMMUG00000005007.4","ENSMMUG00000005007","SLC39A1"
"376","ENSMMUG00000005008.4","ENSMMUG00000005008","CREB3L4"
"377","ENSMMUG00000005010.4","ENSMMUG00000005010",""
"378","ENSMMUG00000005068.4","ENSMMUG00000005068","GFI1"
"379","ENSMMUG00000005069.4","ENSMMUG00000005069","FMO1"
"380","ENSMMUG00000005070.4","ENSMMUG00000005070","EVI5"
"381","ENSMMUG00000005072.4","ENSMMUG00000005072","RPL5"
"382","ENSMMUG00000005073.4","ENSMMUG00000005073","DIPK1A"
"383","ENSMMUG00000005090.4","ENSMMUG00000005090","RXFP4"
"384","ENSMMUG00000005092.4","ENSMMUG00000005092","ARHGEF2"
"385","ENSMMUG00000005129.3","ENSMMUG00000005129","MIXL1"
"386","ENSMMUG00000005137.4","ENSMMUG00000005137","ATP2C1"
"387","ENSMMUG00000005142.4","ENSMMUG00000005142","ASTE1"
"388","ENSMMUG00000005185.4","ENSMMUG00000005185","RGS4"
"389","ENSMMUG00000005186.4","ENSMMUG00000005186","RGS5"
"390","ENSMMUG00000005187.4","ENSMMUG00000005187","KCNMB3"
