"","ensembl_gene_id_version","ensembl_gene_id","external_gene_name"
"1","ENSMMUG00000000009.4","ENSMMUG00000000009","PTPRC"
"2","ENSMMUG00000000015.4","ENSMMUG00000000015","C1H1orf100"
"3","ENSMMUG00000000016.4","ENSMMUG00000000016","ADSS2"
"4","ENSMMUG00000000021.4","ENSMMUG00000000021","CATSPERE"
"5","ENSMMUG00000000037.4","ENSMMUG00000000037","ISG20L2"
"6","ENSMMUG00000000038.4","ENSMMUG00000000038","RRNAD1"
"7","ENSMMUG00000000039.4","ENSMMUG00000000039","MRPL24"
"8","ENSMMUG00000000051.4","ENSMMUG00000000051","LMLN"
"9","ENSMMUG00000000055.4","ENSMMUG00000000055","CMC1"
"10","ENSMMUG00000000056.4","ENSMMUG00000000056","AZI2"
"11","ENSMMUG00000000058.4","ENSMMUG00000000058","CDV3"
"12","ENSMMUG00000000059.4","ENSMMUG00000000059","TOPBP1"
"13","ENSMMUG00000000063.4","ENSMMUG00000000063","PPFIA4"
"14","ENSMMUG00000000065.4","ENSMMUG00000000065","CCDC181"
"15","ENSMMUG00000000067.4","ENSMMUG00000000067","THRB"
"16","ENSMMUG00000000085.4","ENSMMUG00000000085","PAQR6"
"17","ENSMMUG00000000090.4","ENSMMUG00000000090","SMG5"
"18","ENSMMUG00000000092.4","ENSMMUG00000000092","GLMP"
"19","ENSMMUG00000000134.4","ENSMMUG00000000134","SRP9"
"20","ENSMMUG00000000145.4","ENSMMUG00000000145","PDPN"
"21","ENSMMUG00000000184.4","ENSMMUG00000000184","LRCH3"
"22","ENSMMUG00000000220.4","ENSMMUG00000000220","MRPL3"
"23","ENSMMUG00000000243.4","ENSMMUG00000000243","CFHR5"
"24","ENSMMUG00000000244.4","ENSMMUG00000000244","F13B"
"25","ENSMMUG00000000245.4","ENSMMUG00000000245","ASPM"
"26","ENSMMUG00000000290.4","ENSMMUG00000000290","RBP1"
"27","ENSMMUG00000000308.4","ENSMMUG00000000308","S100PBP"
"28","ENSMMUG00000000352.3","ENSMMUG00000000352","FAM229A"
"29","ENSMMUG00000000366.4","ENSMMUG00000000366","TIPARP"
"30","ENSMMUG00000000373.4","ENSMMUG00000000373","SLC2A1"
"31","ENSMMUG00000000386.4","ENSMMUG00000000386","ATG4C"
"32","ENSMMUG00000000390.4","ENSMMUG00000000390","CLCC1"
"33","ENSMMUG00000000402.4","ENSMMUG00000000402","SAMD13"
"34","ENSMMUG00000000404.4","ENSMMUG00000000404",""
"35","ENSMMUG00000000406.4","ENSMMUG00000000406","DNASE2B"
"36","ENSMMUG00000000425.4","ENSMMUG00000000425","VPS8"
"37","ENSMMUG00000000431.4","ENSMMUG00000000431","MAB21L3"
"38","ENSMMUG00000000476.4","ENSMMUG00000000476","FMO5"
"39","ENSMMUG00000000541.4","ENSMMUG00000000541","ARNT"
"40","ENSMMUG00000000545.4","ENSMMUG00000000545","TNN"
"41","ENSMMUG00000000546.4","ENSMMUG00000000546","KIAA0040"
"42","ENSMMUG00000000623.4","ENSMMUG00000000623","P3H2"
"43","ENSMMUG00000000625.4","ENSMMUG00000000625","UTS2"
"44","ENSMMUG00000000629.4","ENSMMUG00000000629","SERPINC1"
"45","ENSMMUG00000000630.4","ENSMMUG00000000630","RC3H1"
"46","ENSMMUG00000000632.4","ENSMMUG00000000632","SH3BP5L"
"47","ENSMMUG00000000634.4","ENSMMUG00000000634","ZNF692"
"48","ENSMMUG00000000637.4","ENSMMUG00000000637","SGIP1"
"49","ENSMMUG00000000638.3","ENSMMUG00000000638","DYNLT5"
"50","ENSMMUG00000000641.4","ENSMMUG00000000641","DNAI4"
"51","ENSMMUG00000000643.4","ENSMMUG00000000643","MIER1"
"52","ENSMMUG00000000644.4","ENSMMUG00000000644","CEP85"
"53","ENSMMUG00000000645.3","ENSMMUG00000000645","SLC35D1"
"54","ENSMMUG00000000647.4","ENSMMUG00000000647","C1H1orf141"
"55","ENSMMUG00000000648.4","ENSMMUG00000000648","IL23R"
"56","ENSMMUG00000000649.4","ENSMMUG00000000649","UBXN11"
"57","ENSMMUG00000000651.4","ENSMMUG00000000651","IL12RB2"
"58","ENSMMUG00000000652.4","ENSMMUG00000000652","SERBP1"
"59","ENSMMUG00000000653.4","ENSMMUG00000000653","STMN1"
"60","ENSMMUG00000000655.4","ENSMMUG00000000655","PAFAH2"
"61","ENSMMUG00000000662.4","ENSMMUG00000000662","GBP3"
"62","ENSMMUG00000000663.4","ENSMMUG00000000663","GBP7"
"63","ENSMMUG00000000676.4","ENSMMUG00000000676","FBXO28"
"64","ENSMMUG00000000724.3","ENSMMUG00000000724","OR6Y1"
"65","ENSMMUG00000000725.3","ENSMMUG00000000725","OR6P1"
"66","ENSMMUG00000000730.4","ENSMMUG00000000730","SPTA1"
"67","ENSMMUG00000000733.4","ENSMMUG00000000733","OR6K2"
"68","ENSMMUG00000000800.4","ENSMMUG00000000800","PSMD2"
"69","ENSMMUG00000000801.4","ENSMMUG00000000801","TMEM183A"
"70","ENSMMUG00000000811.4","ENSMMUG00000000811","CD53"
"71","ENSMMUG00000000812.4","ENSMMUG00000000812","LRIF1"
"72","ENSMMUG00000000813.4","ENSMMUG00000000813",""
"73","ENSMMUG00000000838.4","ENSMMUG00000000838","AGRN"
"74","ENSMMUG00000000850.3","ENSMMUG00000000850","SST"
"75","ENSMMUG00000000868.4","ENSMMUG00000000868","SLC30A1"
"76","ENSMMUG00000000870.4","ENSMMUG00000000870","TLR5"
"77","ENSMMUG00000000873.4","ENSMMUG00000000873","RABGGTB"
"78","ENSMMUG00000000875.4","ENSMMUG00000000875","MSH4"
"79","ENSMMUG00000000931.4","ENSMMUG00000000931","SLC35A3"
