Spleen,#BC80BD
Kidney,#BEBADA
Adrenal Gland,#8DD3C7
Brain:Brain-Gr,#FB8072
Brain:Brain-Wh,#a34136
Liver,#fff265
Lung,#80B1D3
Lymph node:LN-AX-R,#FDB462
Lymph node:LN-ING-L,#ed830c
Lymph node:LN-MES,#f5b771
Lymph node:NA,#ff8700
PBMC,#B3DE69
Sex Organ:Ovary,#e64e9b
Sex Organ:Sex-Organ,#FCCDE5
Sex Organ:Testis,#a82d6c
Skin:Non-Rash,#6e6969
Skin:Rash,#D9D9D9
SpinalCord,#f93d28
Whole blood,#CCEBC5
