Biosample,Note,ID.Processing,ID.Cohort,ID.Individual,Tissue,Quant.18s,Quant.18s SD,Quant.Kulesh,Quant.Kulesh SD,
RA1803_Spleen,,A0001,D006,RA1803,Spleen,1.89E+07,7.85E+06,8.37E+04,6.84E+03,
RA1803_Kidney,,A0002,D006,RA1803,Kidney,1.33E+09,1.24E+08,1.61E+02,8.54E+00,
RA1803_Liver-L,,A0003,D006,RA1803,Liver,2.88E+10,7.95E+09,4.74E+03,1.66E+02,
RA1803_Adrenal,,A0004,D006,RA1803,Adrenal Gland,4.91E+07,6.08E+05,1.10E+04,9.82E+01,
RA1803_Brain-Wh,White,A0005,D006,RA1803,Brain,9.55E+08,3.70E+08,1.84E+01,1.72E+00,
RA1803_Brain-Gr,Grey,A0006,D006,RA1803,Brain,2.63E+09,6.56E+08,4.60E+01,5.45E+01,
RA1803_Ovary,,A0007,D006,RA1803,Sex Organ,1.59E+09,8.34E+08,1.34E+02,5.63E+00,
RA1803_LN-AX-R,,A0008,D006,RA1803,Lymph node,4.00E+07,6.12E+06,1.10E+04,9.82E+01,
RA1803_LN-ING-L,,A0009,D006,RA1803,Lymph node,2.67E+07,2.51E+05,1.86E+04,8.57E+02,
RA1082_LN-MES,,A0010,D006,RA1803,Lymph node,,,,,attempted repeat; no sample
RA1803_LNG-CD-R,,A0011,D006,RA1803,Lung,3.93E+11,5.96E+10,1.30E+02,3.98E+00,
RA1803_Sex-Organ,,A0012,D006,RA1803,Sex Organ,1.18E+08,2.82E+07,2.06E+02,4.09E+00,
RA1803_Skin-Rash,Rash site,A0013,D006,RA1803,Skin,9.26E+09,8.76E+08,2.33E+01,4.69E+00,
RA1803_Skin-Non-Rash,Non-rash site,A0014,D006,RA1803,Skin,1.31E+10,1.46E+09,8.11E+01,1.68E+01,
RA0850_Spleen,,A0015,D004,RA0850,Spleen,8.20E+07,8.97E+06,3.25E+03,2.15E+02,
RA0850_Kidney,,A0016,D004,RA0850,Kidney,8.67E+09,2.67E+09,1.27E+00,1.31E-01,
RA0850_Liver-L,,A0017,D004,RA0850,Liver,2.12E+10,7.07E+09,9.40E+01,7.21E+00,
RA0850_Adrenal,,A0018,D004,RA0850,Adrenal Gland,1.47E+08,2.33E+06,3.08E+01,4.68E+00,
RA0850_Brain-Wh,White,A0019,D004,RA0850,Brain,1.21E+09,2.35E+08,3.04E-01,9.10E-02,
RA0850_Brain-Gr,Grey,A0020,D004,RA0850,Brain,1.14E+09,7.63E+08,1.87E-01,5.90E-02,
RA0850_Ovary,,A0021,D004,RA0850,Sex Organ,1.53E+10,1.55E+09,4.14E-01,1.35E-01,
RA0850_LN-AX-R,,A0022,D004,RA0850,Lymph node,8.95E+09,1.97E+09,2.28E+02,4.83E+01,
RA0850_LN-ING-L,,A0023,D004,RA0850,Lymph node,3.38E+09,7.00E+08,6.87E+01,8.50E+00,
RA0850_LN-MES,,A0024,D004,RA0850,Lymph node,8.80E+09,4.84E+09,4.69E+01,4.87E+00,
RA0850_LNG-CD-R,,A0025,D004,RA0850,Lung,7.84E+09,2.05E+09,1.03E-01,4.30E-02,
RA0850_Sex-Organ,,A0026,D004,RA0850,Sex Organ,1.98E+09,5.73E+08,1.20E-01,5.10E-02,
RA0850_Skin-Rash,Rash site,A0027,D004,RA0850,Skin,6.07E+09,1.64E+09,1.85E+01,2.81E+00,
RA0850_Skin-Non-Rash,Non-rash site,A0028,D004,RA0850,Skin,6.06E+09,1.94E+09,3.34E+00,1.32E+00,
RA0717_Spleen,,A0029,D004,RA0717,Spleen,1.37E+08,5.02E+06,3.75E+05,2.34E+04,
RA0717_Kidney,,A0030,D004,RA0717,Kidney,4.51E+09,1.49E+09,2.02E+01,1.60E+00,
RA0717_Liver-L,,A0031,D004,RA0717,Liver,2.47E+10,1.36E+10,2.62E+03,5.27E+01,
RA0717_Adrenal,,A0032,D004,RA0717,Adrenal Gland,1.73E+08,4.13E+06,5.60E+03,1.27E+02,
RA0717_Brain-Wh,White,A0033,D004,RA0717,Brain,2.11E+09,2.74E+08,2.41E+00,1.38E-01,
