Biosample,Note,ID.Processing,ID.Cohort,ID.Individual,Tissue,Quant.18s,Quant.18s SD,Quant.Kulesh,Quant.Kulesh SD,
RA0717_Brain-Gr,Grey,A0034,D004,RA0717,Brain,1.19E+08,1.81E+07,4.72E+00,1.89E-01,
RA0717_Ovary,,A0035,D004,RA0717,Sex Organ,1.19E+08,1.81E+07,2.10E+00,5.42E-01,
RA0717_LN-AX-R,,A0036,D004,RA0717,Lymph node,1.05E+09,9.75E+08,7.43E+02,3.73E+01,
RA0717_LN-ING-L,,A0037,D004,RA0717,Lymph node,3.34E+09,8.10E+08,1.45E+03,4.33E+01,
RA0717_LN-MES,,A0038,D004,RA0717,Lymph node,2.70E+09,2.19E+09,5.46E+03,1.44E+02,remove
RA0717_LNG-CD-R,,A0039,D004,RA0717,Lung,5.10E+09,3.23E+08,4.92E+01,1.74E+00,
RA0717_Sex-Organ,,A0040,D004,RA0717,Sex Organ,9.51E+08,2.13E+08,5.18E+00,8.01E-01,
RA0717_Skin-Rash,Rash site,A0041,D004,RA0717,Skin,1.29E+10,4.62E+09,3.71E+00,1.90E+00,
RA0717_Skin-Non-Rash,Non-rash site,A0042,D004,RA0717,Skin,1.70E+10,6.53E+09,8.29E+00,2.27E+00,
RA0700_Spleen,,A0043,D007,RA0700,Spleen,4.84E+07,8.84E+06,3.44E+05,2.71E+04,
RA0700_Kidney,,A0044,D007,RA0700,Kidney,2.70E+09,6.38E+08,5.64E+02,1.82E+02,
RA0700_Liver-L,,A0045,D007,RA0700,Liver,3.01E+09,2.49E+08,3.42E+03,4.26E+03,remove
RA0700_Adrenal,,A0046,D007,RA0700,Adrenal Gland,6.16E+07,2.56E+06,1.49E+05,1.81E+03,
RA0700_Brain-Wh,White,A0047,D007,RA0700,Brain,2.97E+08,2.64E+08,5.59E+01,7.99E-01,
RA0700_Brain-Gr,Grey,A0048,D007,RA0700,Brain,5.96E+09,4.28E+09,1.67E+02,9.06E+00,
RA0700_Ovary,,A0049,D007,RA0700,Sex Organ,6.15E+09,5.38E+09,1.26E+03,2.70E+01,
RA0700_LN-AX-R,,A0050,D007,RA0700,Lymph node,2.16E+02,8.05E+01,-,-,attempted repeat; no sample
RA0700_LN-ING-L,,A0051,D007,RA0700,Lymph node,6.75E+09,5.50E+09,9.03E+05,8.48E+04,
RA0700_LN-MES,,A0052,D007,RA0700,Lymph node,9.10E+09,6.30E+09,2.76E+05,3.96E+04,
RA0700_LNG-CD-R,,A0053,D007,RA0700,Lung,4.73E+09,1.90E+09,1.82E+02,3.09E+01,
RA0700_Sex-Organ,,A0054,D007,RA0700,Sex Organ,2.67E+06,2.64E+05,6.62E+02,4.78E+01,
RA0700_Skin-Rash,Rash site,A0055,D007,RA0700,Skin,9.04E+09,2.41E+09,1.20E+02,3.87E+01,
RA0700_Skin-Non-Rash,Non-rash site,A0056,D007,RA0700,Skin,2.40E+10,6.93E+09,1.25E+02,5.28E+01,
RA0223_Spleen,,A0057,D003,RA0223,Spleen,1.49E+08,5.95E+07,4.32E+02,2.16E+01,
RA0223_Kidney,,A0058,D003,RA0223,Kidney,2.21E+09,1.87E+09,5.82E-01,1.61E-01,
RA0223_Liver-L,,A0059,D003,RA0223,Liver,1.36E+10,1.61E+09,7.97E+03,3.86E+02,remove
RA0223_Adrenal,,A0060,D003,RA0223,Adrenal Gland,7.59E+07,2.10E+06,5.34E+00,2.76E+00,
RA0223_Brain-Wh,White,A0061,D003,RA0223,Brain,2.69E+09,1.23E+09,3.00E-03,3.00E-03,
RA0223_Brain-Gr,Grey,A0062,D003,RA0223,Brain,7.38E+10,2.81E+10,4.69E-01,4.11E-01,
RA0223_Ovary,,A0063,D003,RA0223,Sex Organ,2.90E+11,1.53E+11,5.09E-01,6.56E-01,remove
RA0223_LN-AX-R,,A0064,D003,RA0223,Lymph node,6.55E+09,4.17E+09,1.57E+02,4.84E+01,
RA0223_LN-ING-L,,A0065,D003,RA0223,Lymph node,6.50E+09,5.30E+09,1.34E+03,7.91E+00,
RA0223_LN-MES,,A0066,D003,RA0223,Lymph node,3.31E+09,2.65E+09,-,-,remove
RA0223_LNG-CD-R,,A0067,D003,RA0223,Lung,1.17E+10,2.52E+09,1.67E+00,1.07E+00,
RA0223_Sex-Organ,,A0068,D003,RA0223,Sex Organ,8.79E+05,2.75E+05,3.82E+00,2.33E+00,
RA0223_Skin-Rash,Rash site,A0069,D003,RA0223,Skin,1.47E+10,1.92E+09,3.98E+00,1.87E+00,
RA0223_Skin-Non-Rash,Non-rash site,A0070,D003,RA0223,Skin,4.00E+10,2.66E+09,9.64E+01,5.61E+00,
RA1779_Spleen,,A0071,D008,RA1779,Spleen,9.09E+07,7.98E+06,1.02E+05,5.33E+04,
RA1779_Kidney,,A0072,D008,RA1779,Kidney,4.55E+08,1.25E+08,3.44E+02,5.60E+00,
RA1779_Liver-L,,A0073,D008,RA1779,Liver,3.56E+10,9.50E+09,1.27E+03,3.43E+02,
RA1779_Adrenal,,A0074,D008,RA1779,Adrenal Gland,2.48E+08,5.34E+06,1.64E+05,5.78E+03,
RA1779_Brain-Wh,White,A0075,D008,RA1779,Brain,5.00E+10,3.94E+10,8.44E+02,2.75E+01,
RA1779_Brain-Gr,Grey,A0076,D008,RA1779,Brain,1.14E+11,1.70E+10,2.76E+03,1.50E+02,
RA1779_Ovary,,A0077,D008,RA1779,Sex Organ,2.73E+11,1.00E+11,2.74E+05,1.85E+03,
RA1779_LN-AX-R,,A0078,D008,RA1779,Lymph node,1.03E+10,4.59E+09,7.05E+05,3.49E+04,
RA1779_LN-ING-L,,A0079,D008,RA1779,Lymph node,1.08E+10,2.44E+09,1.10E+05,1.70E+04,
RA1779_LN-MES,,A0080,D008,RA1779,Lymph node,1.36E+08,1.09E+08,1.69E+05,6.88E+03,
RA1779_LNG-CD-R,,A0081,D008,RA1779,Lung,9.89E+09,2.57E+09,7.86E+01,1.80E+01,remove
RA1779_Sex-Organ,,A0082,D008,RA1779,Sex Organ,6.54E+05,1.41E+05,4.65E+02,1.08E+02,
RA1779_Skin-Rash,Rash site,A0083,D008,RA1779,Skin,8.99E+09,6.20E+08,2.51E+03,2.14E+02,
RA1779_Skin-Non-Rash,Non-rash site,A0084,D008,RA1779,Skin,1.03E+10,1.91E+09,1.62E+03,1.98E+02,
RA1834_Spleen,,A0085,D003,RA1834,Spleen,1.22E+08,7.39E+06,6.21E+03,2.50E+02,
RA1834_Kidney,,A0086,D003,RA1834,Kidney,1.00E+09,2.49E+08,3.46E-01,1.62E-01,
RA1834_Liver-L,,A0087,D003,RA1834,Liver,2.96E+10,5.06E+09,2.20E+02,5.42E+00,
RA1834_Adrenal,,A0088,D003,RA1834,Adrenal Gland,4.99E+07,3.17E+05,1.60E+01,1.98E-01,
RA1834_Brain-Wh,White,A0089,D003,RA1834,Brain,2.35E+10,3.46E+09,1.81E-01,1.69E-01,
RA1834_Brain-Gr,Grey,A0090,D003,RA1834,Brain,1.84E+11,2.04E+10,1.45E+00,5.42E-01,
RA1834_Testis,,A0091,D003,RA1834,Sex Organ,3.32E+11,2.93E+11,2.74E+02,1.54E+01,
RA1834_LN-AX-R,,A0092,D003,RA1834,Lymph node,3.01E+09,2.69E+09,8.79E+01,8.53E+00,
RA1834_LN-ING-L,,A0093,D003,RA1834,Lymph node,1.28E+10,6.80E+09,7.74E+01,3.83E+00,
RA1834_LN-MES,,A0094,D003,RA1834,Lymph node,2.83E+09,1.57E+09,2.70E+00,9.17E-01,
RA1834_LNG-CD-R,,A0095,D003,RA1834,Lung,9.02E+09,3.90E+09,1.31E+00,4.44E-01,
RA1834_Sex-Organ,,A0096,D003,RA1834,Sex Organ,4.66E+05,5.19E+04,1.85E+00,1.13E+00,
RA1834_Skin-Rash,Rash site,A0097,D003,RA1834,Skin,1.05E+10,4.98E+08,7.56E+00,2.38E+00,
RA1834_Skin-Non-Rash,Non-rash site,A0098,D003,RA1834,Skin,2.64E+09,4.12E+08,1.83E+01,9.08E+00,
RA0449_Spleen,,A0099,D003,RA0449,Spleen,1.49E+08,1.22E+07,3.27E+03,5.62E+02,
RA0449_Kidney,,A0100,D003,RA0449,Kidney,8.62E+10,8.38E+10,6.85E-01,4.50E-02,
RA0449_Liver-L,,A0101,D003,RA0449,Liver,1.78E+08,3.26E+07,8.44E+02,9.81E+02,
RA0449_Adrenal,,A0102,D003,RA0449,Adrenal Gland,1.04E+08,2.38E+06,8.40E+00,1.49E+00,
RA0449_Brain-Wh,White,A0103,D003,RA0449,Brain,1.58E+11,7.35E+09,3.72E-01,3.64E-01,
RA0449_Brain-Gr,Grey,A0104,D003,RA0449,Brain,4.91E+11,7.26E+10,4.90E-02,6.90E-02,
RA0449_Ovary,,A0105,D003,RA0449,Sex Organ,7.29E+10,3.26E+10,2.41E-01,3.62E-01,
RA0449_LN-AX-R,,A0106,D003,RA0449,Lymph node,4.16E+09,1.01E+09,3.94E+01,3.99E+00,
RA0449_LN-ING-L,,A0107,D003,RA0449,Lymph node,1.37E+09,7.45E+08,1.93E+00,3.26E-01,
RA0449_LN-MES,,A0108,D003,RA0449,Lymph node,4.50E+09,1.11E+09,1.74E+01,4.48E-01,
RA0449_LNG-CD-R,,A0109,D003,RA0449,Lung,2.24E+10,1.18E+09,1.67E+00,4.04E-01,
RA0449_Sex-Organ,,A0110,D003,RA0449,Sex Organ,3.59E+07,3.35E+06,9.00E+00,1.65E+00,
RA0449_Skin-Rash,Rash site,A0111,D003,RA0449,Skin,3.15E+09,3.37E+08,3.56E+00,1.82E+00,
RA0449_Skin-Non-Rash,Non-rash site,A0112,D003,RA0449,Skin,5.56E+09,4.00E+08,5.81E+00,5.74E-01,
RA0522_Spleen,,A0113,D005,RA0522,Spleen,1.08E+08,1.40E+06,2.30E+04,1.85E+03,
RA0522_Kidney,,A0114,D005,RA0522,Kidney,9.57E+10,4.17E+10,8.30E+00,8.88E-01,
RA0522_Liver-L,,A0115,D005,RA0522,Liver,5.57E+08,3.73E+07,1.50E+04,1.21E+04,
RA0522_Adrenal,,A0116,D005,RA0522,Adrenal Gland,1.17E+08,3.27E+06,1.29E+03,5.66E+01,
RA0522_Brain-Wh,White,A0117,D005,RA0522,Brain,1.40E+11,3.35E+10,2.40E+00,8.84E-01,
RA0522_Brain-Gr,Grey,A0118,D005,RA0522,Brain,4.01E+11,3.74E+10,6.97E+00,6.94E-01,
RA0522_Ovary,,A0119,D005,RA0522,Sex Organ,1.10E+11,8.20E+10,3.98E+02,2.05E+00,
RA0522_LN-AX-R,,A0120,D005,RA0522,Lymph node,2.10E+09,5.45E+08,7.94E+02,3.27E+01,
RA0522_LN-ING-L,,A0121,D005,RA0522,Lymph node,8.95E+08,5.20E+08,3.14E+02,1.56E+01,
RA0522_LN-MES,,A0122,D005,RA0522,Lymph node,2.80E+09,2.19E+09,2.18E+04,2.25E+03,
RA0522_LNG-CD-R,,A0123,D005,RA0522,Lung,8.40E+09,1.63E+09,1.19E+01,5.83E-01,
RA0522_Sex-Organ,,A0124,D005,RA0522,Sex Organ,3.26E+07,2.70E+06,-,-,
RA0522_Skin-Rash,Rash site,A0125,D005,RA0522,Skin,1.30E+10,1.90E+09,9.56E+00,3.74E+00,
RA0522_Skin-Non-Rash,Non-rash site,A0126,D005,RA0522,Skin,1.86E+10,1.02E+10,7.85E+00,1.30E+00,
RA0452_Spleen,,A0127,D005,RA0452,Spleen,1.05E+08,1.61E+06,8.22E+04,3.02E+03,
RA0452_Kidney,,A0128,D005,RA0452,Kidney,2.36E+11,6.16E+10,5.07E+01,2.24E+00,
RA0452_Liver-L,,A0129,D005,RA0452,Liver,4.92E+08,6.14E+07,1.54E+04,8.81E+03,
RA0452_Adrenal,,A0130,D005,RA0452,Adrenal Gland,1.69E+08,1.91E+06,3.46E+04,2.25E+03,
RA0452_Brain-Wh,White,A0131,D005,RA0452,Brain,1.90E+10,7.61E+09,1.59E+02,1.62E+01,
RA0452_Brain-Gr,Grey,A0132,D005,RA0452,Brain,4.58E+10,4.62E+09,1.27E+02,2.75E+01,
RA0452_Ovary,,A0133,D005,RA0452,Sex Organ,6.79E+10,2.59E+10,4.01E+03,2.05E+02,
RA0452_LN-AX-R,,A0134,D005,RA0452,Lymph node,1.25E+10,1.42E+09,2.33E+04,2.68E+03,
RA0452_LN-ING-L,,A0135,D005,RA0452,Lymph node,3.72E+09,2.06E+09,5.72E+04,2.17E+03,
RA0452_LN-MES,,A0136,D005,RA0452,Lymph node,9.00E+09,5.40E+09,3.29E+04,5.57E+03,
RA0452_LNG-CD-R,,A0137,D005,RA0452,Lung,3.88E+09,8.92E+08,7.76E+00,3.45E-01,
RA0452_Sex-Organ,,A0138,D005,RA0452,Sex Organ,8.72E+07,1.95E+07,3.74E+01,5.52E+00,
RA0452_Skin-Rash,Rash site,A0139,D005,RA0452,Skin,2.69E+09,5.49E+08,1.52E+01,1.48E+00,
RA0452_Skin-Non-Rash,Non-rash site,A0140,D005,RA0452,Skin,1.91E+09,3.29E+08,1.63E+02,1.49E+01,
RA1790_Spleen,,A0141,D007,RA1790,Spleen,5.23E+07,5.83E+06,1.56E+05,4.35E+04,
RA1790_Kidney,,A0142,D007,RA1790,Kidney,5.76E+10,1.01E+10,3.45E+02,2.80E+01,
RA1790_Liver-L,,A0143,D007,RA1790,Liver,4.13E+08,5.11E+07,3.78E+05,2.01E+05,
RA1790_Adrenal,,A0144,D007,RA1790,Adrenal Gland,1.46E+08,1.18E+06,9.31E+04,2.65E+03,
RA1790_Brain-Wh,White,A0145,D007,RA1790,Brain,3.44E+10,3.09E+09,3.84E+02,2.34E+01,
RA1790_Brain-Gr,Grey,A0146,D007,RA1790,Brain,6.74E+11,7.59E+10,5.54E+03,2.13E+02,
RA1790_Ovary,,A0147,D007,RA1790,Sex Organ,3.89E+10,4.13E+10,7.97E+04,9.03E+02,
RA1790_LN-AX-R,,A0148,D007,RA1790,Lymph node,8.05E+08,1.80E+08,3.51E+05,1.28E+04,
RA1790_LN-ING-L,,A0149,D007,RA1790,Lymph node,2.81E+09,1.77E+09,3.98E+05,1.70E+04,
RA1790_LN-MES,,A0150,D007,RA1790,Lymph node,2.47E+09,1.88E+09,5.77E+05,2.67E+04,
RA1790_LNG-CD-R,,A0151,D007,RA1790,Lung,6.84E+09,4.06E+08,4.07E+01,2.01E+00,
RA1790_Sex-Organ,,A0152,D007,RA1790,Sex Organ,5.11E+07,1.30E+07,7.90E+02,8.02E+01,
RA1790_Skin-Rash,Rash site,A0153,D007,RA1790,Skin,1.06E+09,1.90E+08,4.23E+02,5.82E+01,
RA1790_Skin-Non-Rash,Non-rash site,A0154,D007,RA1790,Skin,1.53E+09,2.13E+08,4.45E+02,7.68E+01,
RA1818_Spleen,,A0155,D006,RA1818,Spleen,8.57E+07,2.51E+06,2.25E+05,9.04E+03,remove
RA1818_Kidney,,A0156,D006,RA1818,Kidney,6.22E+09,1.91E+09,3.62E+02,2.07E+01,
RA1818_Liver-L,,A0157,D006,RA1818,Liver,2.28E+08,4.47E+07,6.35E+05,4.24E+05,
RA1818_Adrenal,,A0158,D006,RA1818,Adrenal Gland,1.98E+08,4.06E+06,6.43E+04,1.21E+03,
RA1818_Brain-Wh,White,A0159,D006,RA1818,Brain,7.70E+10,1.35E+10,7.28E+02,5.59E+01,
RA1818_Brain-Gr,Grey,A0160,D006,RA1818,Brain,5.94E+11,5.68E+10,2.41E+03,1.25E+02,
RA1818_Ovary,,A0161,D006,RA1818,Sex Organ,9.08E+09,1.40E+10,3.45E+04,2.86E+03,
RA1818_LN-AX-R,,A0162,D006,RA1818,Lymph node,2.90E+09,1.82E+09,1.90E+05,1.16E+04,
RA1818_LN-ING-L,,A0163,D006,RA1818,Lymph node,1.85E+09,1.60E+09,2.13E+05,1.05E+04,
RA1818_LN-MES,,A0164,D006,RA1818,Lymph node,5.30E+09,2.15E+08,8.38E+05,6.16E+03,
RA1818_LNG-CD-R,,A0165,D006,RA1818,Lung,1.64E+10,8.92E+09,1.21E+02,4.94E+00,
RA1818_Sex-Organ,,A0166,D006,RA1818,Sex Organ,2.64E+07,2.33E+07,2.15E+02,4.25E+01,
RA1818_Skin-Rash,Rash site,A0167,D006,RA1818,Skin,9.22E+05,4.95E+05,7.78E+01,1.41E+01,
RA1818_Skin-Non-Rash,Non-rash site,A0168,D006,RA1818,Skin,5.74E+09,1.07E+09,6.32E+04,1.40E+04,
RA1849_Spleen,,A0169,D004,RA1849,Spleen,8.15E+07,2.32E+06,2.23E+04,1.91E+03,
RA1849_Kidney,,A0170,D004,RA1849,Kidney,2.20E+10,7.70E+09,5.09E+00,2.60E-01,
RA1849_Liver-L,,A0171,D004,RA1849,Liver,6.43E+08,7.73E+07,7.34E+03,2.67E+03,
RA1849_Adrenal,,A0172,D004,RA1849,Adrenal Gland,8.43E+07,1.62E+06,9.34E+01,4.04E+00,
RA1849_Brain-Wh,White,A0173,D004,RA1849,Brain,5.96E+10,1.41E+10,1.52E+00,2.42E-01,
RA1849_Brain-Gr,Grey,A0174,D004,RA1849,Brain,1.03E+11,2.81E+10,1.54E+00,7.89E-01,
RA1849_Ovary,,A0175,D004,RA1849,Sex Organ,6.18E+11,1.60E+10,3.98E+01,6.11E+00,
RA1849_LN-AX-R,,A0176,D004,RA1849,Lymph node,3.75E+09,1.29E+09,1.22E+02,1.90E+01,
RA1849_LN-ING-L,,A0177,D004,RA1849,Lymph node,1.25E+09,3.14E+08,1.81E+02,7.28E+00,
RA1849_LN-MES,,A0178,D004,RA1849,Lymph node,3.40E+09,2.10E+09,1.27E+02,2.07E+01,
RA1849_LNG-CD-R,,A0179,D004,RA1849,Lung,5.67E+09,2.23E+09,9.53E+00,1.36E+00,
RA1849_Sex-Organ,,A0180,D004,RA1849,Sex Organ,4.42E+05,7.06E+04,2.06E+00,-,
RA1849_Skin-Rash,Rash site,A0181,D004,RA1849,Skin,1.66E+06,7.96E+05,4.87E+00,2.84E+00,
RA1849_Skin-Non-Rash,Non-rash site,A0182,D004,RA1849,Skin,1.17E+06,3.66E+05,2.83E+00,9.62E-01,
RA0917_Spleen,,A0183,D006,RA0917,Spleen,4.19E+07,7.29E+05,6.62E+04,5.54E+03,
RA0917_Kidney,,A0184,D006,RA0917,Kidney,1.50E+10,1.27E+10,2.52E+02,6.53E+00,
RA0917_Liver-L,,A0185,D006,RA0917,Liver,4.04E+08,2.59E+08,2.46E+05,1.02E+05,
RA0917_Adrenal,,A0186,D006,RA0917,Adrenal Gland,1.12E+08,3.49E+06,8.67E+04,8.92E+02,
RA0917_Brain-Wh,White,A0187,D006,RA0917,Brain,1.77E+10,2.19E+09,2.79E+02,6.40E+01,
RA0917_Brain-Gr,Grey,A0188,D006,RA0917,Brain,6.62E+11,1.45E+10,7.42E+02,2.51E+01,
RA0917_Ovary,,A0189,D006,RA0917,Sex Organ,1.86E+08,2.45E+07,3.12E+03,2.21E+02,
RA0917_LN-AX-R,,A0190,D006,RA0917,Lymph node,3.49E+08,1.86E+08,1.08E+06,2.31E+05,
RA0917_LN-ING-L,,A0191,D006,RA0917,Lymph node,1.97E+09,2.96E+08,8.01E+05,2.37E+04,
RA0917_LN-MES,,A0192,D006,RA0917,Lymph node,4.55E+09,1.10E+09,3.00E+06,5.19E+04,
RA0917_LNG-CD-R,,A0193,D006,RA0917,Lung,7.91E+05,2.06E+04,4.63E+03,3.54E+02,
RA0917_Sex-Organ,,A0194,D006,RA0917,Sex Organ,1.23E+10,1.76E+09,1.07E+02,3.51E+00,
RA0917_Skin-Rash,Rash site,A0195,D006,RA0917,Skin,3.12E+05,1.60E+05,1.30E+02,9.78E+00,
RA0917_Skin-Non-Rash,Non-rash site,A0196,D006,RA0917,Skin,1.08E+05,3.49E+04,-,-,
RA1423_Spleen,,A0197,D008,RA1423,Spleen,2.46E+07,1.01E+06,1.58E+05,5.93E+03,
RA1423_Kidney,,A0198,D008,RA1423,Kidney,1.73E+10,7.19E+09,7.71E+02,3.05E+01,
RA1423_Liver-L,,A0199,D008,RA1423,Liver,6.29E+07,4.48E+07,3.46E+05,1.14E+05,
RA1423_Adrenal,,A0200,D008,RA1423,Adrenal Gland,2.35E+08,6.42E+06,3.09E+04,4.00E+02,
RA1423_Brain-Wh,White,A0201,D008,RA1423,Brain,7.67E+10,7.21E+09,6.96E+03,9.72E+02,
RA1423_Brain-Gr,Grey,A0202,D008,RA1423,Brain,2.93E+11,3.88E+10,2.30E+04,1.52E+03,
RA1423_Ovary,,A0203,D008,RA1423,Sex Organ,1.34E+04,1.75E+03,5.83E+00,2.12E+00,
RA1423_LN-AX-R,,A0204,D008,RA1423,Lymph node,7.25E+09,5.10E+09,1.27E+06,1.11E+05,
RA1423_LN-ING-L,,A0205,D008,RA1423,Lymph node,3.46E+08,4.95E+06,2.59E+04,7.55E+03,
RA1423_LN-MES,,A0206,D008,RA1423,Lymph node,2.28E+09,7.32E+06,2.98E+05,6.00E+04,
RA1423_LNG-CD-R,,A0207,D008,RA1423,Lung,3.88E+10,2.79E+10,2.93E+02,2.77E+01,
RA1423_Sex-Organ,,A0208,D008,RA1423,Sex Organ,2.09E+08,2.40E+07,7.90E+02,4.76E+01,
RA1423_Skin-Rash,Rash site,A0209,D008,RA1423,Skin,6.42E+05,5.74E+04,2.40E+03,1.14E+02,
RA1423_Skin-Non-Rash,Non-rash site,A0210,D008,RA1423,Skin,5.28E+05,1.51E+05,1.32E+02,7.41E+01,
RA1639_Spleen,,A0211,D005,RA1639,Spleen,3.30E+07,1.66E+07,2.78E+05,1.63E+04,
RA1639_Kidney,,A0212,D005,RA1639,Kidney,6.46E+09,4.24E+09,2.31E+02,8.72E+00,
RA1639_Liver-L,,A0213,D005,RA1639,Liver,3.43E+08,6.17E+07,2.72E+06,2.64E+05,
RA1639_Adrenal,,A0214,D005,RA1639,Adrenal Gland,1.44E+08,2.06E+06,5.57E+04,8.95E+02,
RA1639_Brain-Wh,White,A0215,D005,RA1639,Brain,3.72E+10,2.23E+09,7.36E-01,7.58E-01,
RA1639_Brain-Gr,Grey,A0216,D005,RA1639,Brain,2.25E+11,3.84E+10,1.26E+03,9.43E+01,
RA1639_Ovary,,A0217,D005,RA1639,Sex Organ,3.29E+08,1.24E+07,3.61E+02,2.72E+02,
RA1639_LN-AX-R,,A0218,D005,RA1639,Lymph node,2.58E+08,2.40E+06,8.42E+03,2.15E+03,
RA1639_LN-ING-L,,A0219,D005,RA1639,Lymph node,6.50E+08,1.33E+07,9.74E+03,2.73E+03,
RA1639_LN-MES,,A0220,D005,RA1639,Lymph node,1.50E+09,9.85E+06,2.76E+03,9.49E+02,
RA1639_LNG-CD-R,,A0221,D005,RA1639,Lung,1.67E+11,6.87E+09,7.98E+01,5.28E+01,
RA1639_Sex-Organ,,A0222,D005,RA1639,Sex Organ,4.22E+06,4.28E+05,4.05E+01,7.36E+00,
RA1639_Skin-Rash,Rash site,A0223,D005,RA1639,Skin,5.86E+05,3.29E+05,8.51E+01,3.95E+01,
RA1639_Skin-Non-Rash,Non-rash site,A0224,D005,RA1639,Skin,9.45E+05,7.28E+03,4.97E+01,1.60E+01,
RA1325_Spleen,,A0225,D006,RA1325,Spleen,8.66E+07,4.74E+06,6.59E+04,3.45E+03,
RA1325_Kidney,,A0226,D006,RA1325,Kidney,3.49E+10,8.41E+09,1.18E+02,2.07E+00,
RA1325_Liver-L,,A0227,D006,RA1325,Liver,4.84E+08,1.94E+07,1.30E+05,1.33E+04,
RA1325_Adrenal,,A0228,D006,RA1325,Adrenal Gland,9.32E+07,1.83E+06,3.55E+04,5.21E+02,
RA1325_Brain-Wh,White,A0229,D006,RA1325,Brain,6.24E+10,2.40E+10,1.64E+01,4.04E+00,
