,Time,Component,percent
0,0.0,BC,0.04364213
1,0.008008008,BC,0.04363997
2,0.016016016,BC,0.043638166
3,0.024024025,BC,0.043636728
4,0.03203203,BC,0.043635644
5,0.04004004,BC,0.043634914
6,0.04804805,BC,0.043634538
7,0.056056056,BC,0.04363451
8,0.06406406,BC,0.043634847
9,0.072072074,BC,0.043635525
10,0.08008008,BC,0.043636557
11,0.08808809,BC,0.043637935
12,0.0960961,BC,0.043639664
13,0.1041041,BC,0.043641735
14,0.11211211,BC,0.043644153
15,0.12012012,BC,0.0436469
16,0.12812813,BC,0.043649998
17,0.13613613,BC,0.04365343
18,0.14414415,BC,0.043657195
19,0.15215215,BC,0.043661293
20,0.16016015,BC,0.043665722
21,0.16816816,BC,0.043670487
22,0.17617618,BC,0.04367556
23,0.18418418,BC,0.043680962
24,0.1921922,BC,0.043686684
25,0.2002002,BC,0.043692723
26,0.20820822,BC,0.04369907
27,0.21621622,BC,0.04370573
28,0.22422422,BC,0.043712698
29,0.23223224,BC,0.043719977
30,0.24024025,BC,0.043727554
31,0.24824825,BC,0.043735422
32,0.25625625,BC,0.043743588
33,0.26426426,BC,0.043752044
34,0.27227226,BC,0.04376079
35,0.2802803,BC,0.04376981
36,0.2882883,BC,0.043779112
37,0.2962963,BC,0.04378869
38,0.3043043,BC,0.043798536
39,0.3123123,BC,0.043808654
40,0.3203203,BC,0.043819025
41,0.3283283,BC,0.04382966
42,0.3363363,BC,0.04384055
43,0.34434432,BC,0.043851692
44,0.35235235,BC,0.04386308
45,0.36036035,BC,0.043874696
46,0.36836836,BC,0.04388656
47,0.37637636,BC,0.043898657
48,0.3843844,BC,0.04391096
49,0.3923924,BC,0.043923516
50,0.4004004,BC,0.043936267
51,0.4084084,BC,0.04394924
52,0.41641644,BC,0.04396242
53,0.42442444,BC,0.0439758
54,0.43243244,BC,0.04398937
55,0.44044045,BC,0.04400314
56,0.44844845,BC,0.044017095
57,0.45645645,BC,0.044031233
58,0.46446446,BC,0.04404554
59,0.4724725,BC,0.04406003
60,0.4804805,BC,0.044074673
61,0.4884885,BC,0.044089478
62,0.4964965,BC,0.044104453
63,0.5045045,BC,0.044119556
64,0.5125125,BC,0.04413482
65,0.5205205,BC,0.04415022
66,0.5285285,BC,0.044165745
67,0.5365365,BC,0.0441814
68,0.5445445,BC,0.044197176
69,0.5525525,BC,0.04421307
70,0.5605606,BC,0.044229075
