,quantile,sample,celltype,values
0,0,A0018,BC,0.024280978
1,0,A0018,CD4+ TC,0.033548903
2,0,A0018,CD8+ TC,0.006217537
3,0,A0018,Chromaffin,0.12385139
4,0,A0018,Cycling,0.027218424
5,0,A0018,Endo,0.002935803
6,0,A0018,Erythrocyte,0.0002038334
7,0,A0018,Fasciculata,0.56564766
8,0,A0018,Glomerulosa,0.0003583248
9,0,A0018,Macro,0.013066763
10,0,A0018,Meso,0.034988683
11,0,A0018,Mono,0.000378021
12,0,A0018,NK,0.011784723
13,0,A0018,NKT,0.0034898429
14,0,A0018,Plasma BC,0.00080042554
15,0,A0018,Stromal,0.0029961616
16,0,A0018,TC,0.00025175698
17,0,A0046,BC,0.039904807
18,0,A0046,CD4+ TC,0.01662546
19,0,A0046,CD8+ TC,0.054654885
20,0,A0046,Chromaffin,0.02971465
21,0,A0046,Cycling,0.017267762
22,0,A0046,Endo,0.0014585692
23,0,A0046,Erythrocyte,0.014673319
24,0,A0046,Fasciculata,0.5372772
25,0,A0046,Glomerulosa,0.00031409177
26,0,A0046,Macro,0.043583415
27,0,A0046,Meso,0.063032635
28,0,A0046,Mono,0.006881287
29,0,A0046,NK,0.0014935796
30,0,A0046,NKT,0.0031749401
31,0,A0046,Plasma BC,0.016288055
32,0,A0046,Stromal,0.0027808694
33,0,A0046,TC,0.017549146
34,0,A0074_S61_L001,BC,0.054027975
35,0,A0074_S61_L001,CD4+ TC,0.03115719
36,0,A0074_S61_L001,CD8+ TC,0.07852842
37,0,A0074_S61_L001,Chromaffin,0.1386351
38,0,A0074_S61_L001,Cycling,0.031884342
39,0,A0074_S61_L001,Endo,0.00052033004
40,0,A0074_S61_L001,Erythrocyte,0.016189752
41,0,A0074_S61_L001,Fasciculata,0.3032756
42,0,A0074_S61_L001,Glomerulosa,0.00025981103
43,0,A0074_S61_L001,Macro,0.07532324
44,0,A0074_S61_L001,Meso,0.08235324
45,0,A0074_S61_L001,Mono,0.026083225
46,0,A0074_S61_L001,NK,0.0040999185
47,0,A0074_S61_L001,NKT,0.011025066
48,0,A0074_S61_L001,Plasma BC,0.023758143
49,0,A0074_S61_L001,Stromal,0.027530227
50,0,A0074_S61_L001,TC,0.001115564
51,0,A0088,BC,0.020910041
52,0,A0088,CD4+ TC,0.045519233
53,0,A0088,CD8+ TC,0.030178675
54,0,A0088,Chromaffin,0.19893134
55,0,A0088,Cycling,0.007899871
56,0,A0088,Endo,0.00035607687
57,0,A0088,Erythrocyte,0.00029155897
58,0,A0088,Fasciculata,0.2396841
