"","Geneid","external_gene_name"
"1","ENSMMUG00000015329.4","MX1"
"2","ENSMMUG00000044257.2","MX2"
"3","ENSMMUG00000012782.4","OAS1"
"4","ENSMMUG00000050757.1","ISG15"
"5","ENSMMUG00000008505.4","OAS2"
"6","ENSMMUG00000009602.4","XAF1"
"7","ENSMMUG00000003272.4",""
"8","ENSMMUG00000006441.4","OASL"
"10","ENSMMUG00000010316.4","HERC5"
"11","ENSMMUG00000010314.4","HERC6"
"12","ENSMMUG00000005001.4","IFIT3"
"13","ENSMMUG00000015968.4","CMPK2"
"14","ENSMMUG00000014293.4","PLA2G4C"
"15","ENSMMUG00000019591.4","KCNH7"
"16","ENSMMUG00000061761.1","IFIT2"
"17","ENSMMUG00000017533.4","IFIT1"
"18","ENSMMUG00000011454.4","IFI6"
"19","ENSMMUG00000001332.4","UBE2L6"
"20","ENSMMUG00000000662.4","GBP3"
"21","ENSMMUG00000003634.4","DDX60L"
"22","ENSMMUG00000002350.4","IFI44"
"23","ENSMMUG00000001880.4","DDX60"
"24","ENSMMUG00000015332.4","TMPRSS2"
"25","ENSMMUG00000001569.4","IFI44L"
"26","ENSMMUG00000010082.4","SLFN5"
"27","ENSMMUG00000062582.1","PTX3"
"28","ENSMMUG00000001537.4","APOL2"
"29","ENSMMUG00000001050.4","APOL6"
"31","ENSMMUG00000020803.4","SAMD9L"
"32","ENSMMUG00000060439.1",""
"33","ENSMMUG00000014755.4","DHX58"
"34","ENSMMUG00000023780.4","IFI27"
"36","ENSMMUG00000011301.4","PSMB8"
"37","ENSMMUG00000011304.4","PSMB9"
"38","ENSMMUG00000017563.4","CETP"
"39","ENSMMUG00000022569.4","PARP14"
"40","ENSMMUG00000005829.4","BST2"
"41","ENSMMUG00000056594.1","DTX3L"
"43","ENSMMUG00000013256.4",""
"45","ENSMMUG00000059959.1","FCN1"
"46","ENSMMUG00000058382.1",""
"48","ENSMMUG00000060797.1","B2M"
"49","ENSMMUG00000013257.3",""
"50","ENSMMUG00000000687.4","ETV7"
"51","ENSMMUG00000012199.4","SP140"
"52","ENSMMUG00000018791.4","MOCOS"
"53","ENSMMUG00000021755.4","PLSCR1"
"54","ENSMMUG00000015999.3","IFI35"
"55","ENSMMUG00000015969.3","RSAD2"
"56","ENSMMUG00000000729.4",""
"57","ENSMMUG00000055242.1","MAMU-E"
"60","ENSMMUG00000041923.2","TRIM14"
"64","ENSMMUG00000064873.1",""
"67","ENSMMUG00000000335.4","TRIM5"
"72","ENSMMUG00000007669.4","ISG20"
"80","ENSMMUG00000000769.4","NLRC5"
"81","ENSMMUG00000037522.2","EIF2AK2"
"85","ENSMMUG00000008378.4","MLKL"
"86","ENSMMUG00000006857.4","ELSPBP1"
"87","ENSMMUG00000006070.4","HELZ2"
"90","ENSMMUG00000004224.4","PARP12"
"91","ENSMMUG00000008799.4","MAMU-F"
"93","ENSMMUG00000016381.4","PARP9"
"102","ENSMMUG00000037555.2","SLFN13"
"103","ENSMMUG00000023184.4","UNC93B1"
"104","ENSMMUG00000016575.4","SP100"
"108","ENSMMUG00000013574.4","TUBA8"
"110","ENSMMUG00000000803.4","STAT2"
"112","ENSMMUG00000019304.4","IDO1"
"118","ENSMMUG00000019662.4","LGALS3BP"
"121","ENSMMUG00000017534.4","IFIT5"
"122","ENSMMUG00000001016.4","APOBEC3H"
"127","ENSMMUG00000012197.4","SP110"
"129","ENSMMUG00000005613.4","STAT1"
"132","ENSMMUG00000012442.4","DDX58"
"133","ENSMMUG00000005150.4","CD163"
"140","ENSMMUG00000046639.2","OAS3"
"143","ENSMMUG00000017890.4",""
"155","ENSMMUG00000059881.1","WARS1"
"157","ENSMMUG00000004974.4","TRIM21"
"174","ENSMMUG00000002091.4","SAMHD1"
"178","ENSMMUG00000005455.4","RNF213"
"183","ENSMMUG00000062821.1",""
"184","ENSMMUG00000054796.1","CCL5"
"195","ENSMMUG00000017781.4","NMI"
"202","ENSMMUG00000061959.1",""
"219","ENSMMUG00000020903.3","CXCL10"
"224","ENSMMUG00000050418.1","SOD2"
"264","ENSMMUG00000064120.1",""
"266","ENSMMUG00000006550.4","ZC3HAV1"
"271","ENSMMUG00000009650.4","HIRA"
"280","ENSMMUG00000000338.4","TRIM22"
"304","ENSMMUG00000061756.1",""
"340","ENSMMUG00000006470.4","C1R"
"342","ENSMMUG00000050829.1",""
"367","ENSMMUG00000049499.1",""
"379","ENSMMUG00000000449.4",""
"383","ENSMMUG00000042707.2","ANGPTL6"
"395","ENSMMUG00000056508.1",""
"405","ENSMMUG00000062554.1","TMEM140"
"475","ENSMMUG00000062086.1",""
"482","ENSMMUG00000012310.4","CFLAR"
"484","ENSMMUG00000002382.4","SERPINF2"
"506","ENSMMUG00000009222.4","PLEKHA4"
"555","ENSMMUG00000001764.3",""
"567","ENSMMUG00000018138.4","SHFL"
"587","ENSMMUG00000010062.4","SHISA5"
"608","ENSMMUG00000014926.4","EPSTI1"
"633","ENSMMUG00000059569.1",""
"698","ENSMMUG00000020016.4","APOL4"
"740","ENSMMUG00000016093.4","ADAR"
"795","ENSMMUG00000023623.4","ZNFX1"
"863","ENSMMUG00000049822.1","MT2A"
"910","ENSMMUG00000040817.2","IRF9"
"962","ENSMMUG00000058486.1","C1QB"
"973","ENSMMUG00000008100.4","IRF1"
"1008","ENSMMUG00000005790.4","TRIM25"
"1234","ENSMMUG00000059489.1","MOV10"
"1375","ENSMMUG00000049493.1","NANS"
"1467","ENSMMUG00000004177.4","MYO7B"
"1471","ENSMMUG00000002569.4","PML"
"1754","ENSMMUG00000021185.4","VWA3B"
"1932","ENSMMUG00000020980.4","UBA7"
"1946","ENSMMUG00000011573.4","CMTR1"
"1948","ENSMMUG00000059791.1",""
"2194","ENSMMUG00000000663.4","GBP7"
"2318","ENSMMUG00000004490.4","IFI16"
"2338","ENSMMUG00000004084.4","GCH1"
"3620","ENSMMUG00000013490.4","TRIM6"
"5489","ENSMMUG00000011520.4","FKBP5"
"6640","ENSMMUG00000058428.1","SOCS3"
"7345","ENSMMUG00000012618.4","SERPING1"
"8429","ENSMMUG00000011293.4","MAMU-DOB"
"9543","ENSMMUG00000008711.4","CHI3L1"
"10036","ENSMMUG00000006868.4","S100A9"
"11219","ENSMMUG00000021862.4","PLA2G2A"
"12058","ENSMMUG00000059599.1",""
"12741","ENSMMUG00000000902.4","PLA1A"
"13248","ENSMMUG00000022311.4","PLAC8"
"13302","ENSMMUG00000053130.1","CXCL11"
"13871","ENSMMUG00000014024.4","DCHS2"
"17231","ENSMMUG00000044284.2",""
"17390","ENSMMUG00000058074.1","SYTL3"
"20009","ENSMMUG00000011218.4","SERPINA3"
"23191","ENSMMUG00000000470.4","ANKRD22"
"23198","ENSMMUG00000056491.1",""
"23753","ENSMMUG00000032156.3","C3AR1"
"23774","ENSMMUG00000023315.4","BCL2L14"
"25531","ENSMMUG00000005700.4","BARD1"
"25853","ENSMMUG00000004014.4","IRF7"
"26028","ENSMMUG00000006568.4","BATF2"
"26052","ENSMMUG00000045105.2","PLAAT4"
"26191","ENSMMUG00000038222.2","SMTNL1"
"26587","ENSMMUG00000061602.1","OR52B6"
"26588","ENSMMUG00000030983.3","UBQLNL"
"28135","ENSMMUG00000000006.4","NEURL3"
"28300","ENSMMUG00000013014.4","IL1RN"
"29104","ENSMMUG00000039452.2","ODF3B"
"29270","ENSMMUG00000042504.2","APOBEC3A"
"30230","ENSMMUG00000022588.4","ZBP1"
"30501","ENSMMUG00000014925.4","FAM216B"
"30980","ENSMMUG00000057987.1","SCIMP"
"31002","ENSMMUG00000009604.4","FBXO39"
"31310","ENSMMUG00000050728.1",""
"31365","ENSMMUG00000009784.4","CCL8"
"32154","ENSMMUG00000016897.4",""
"32723","ENSMMUG00000056419.1","MT1X"
"33952","ENSMMUG00000057552.1","HSH2D"
"35003","ENSMMUG00000052585.1",""
