,Time,Component,percent
0,0.0,Astro,0.15078945
1,0.008008008,Astro,0.15075885
2,0.016016016,Astro,0.150728
3,0.024024025,Astro,0.150697
4,0.03203203,Astro,0.1506658
5,0.04004004,Astro,0.15063438
6,0.04804805,Astro,0.1506028
7,0.056056056,Astro,0.15057106
8,0.06406406,Astro,0.15053906
9,0.072072074,Astro,0.15050691
10,0.08008008,Astro,0.15047458
11,0.08808809,Astro,0.15044203
12,0.0960961,Astro,0.15040931
13,0.1041041,Astro,0.15037647
14,0.11211211,Astro,0.15034336
15,0.12012012,Astro,0.1503101
16,0.12812813,Astro,0.15027662
17,0.13613613,Astro,0.15024303
18,0.14414415,Astro,0.1502092
19,0.15215215,Astro,0.15017518
20,0.16016015,Astro,0.15014102
21,0.16816816,Astro,0.15010667
22,0.17617618,Astro,0.1500721
23,0.18418418,Astro,0.1500374
24,0.1921922,Astro,0.15000251
25,0.2002002,Astro,0.14996743
26,0.20820822,Astro,0.14993219
27,0.21621622,Astro,0.14989676
28,0.22422422,Astro,0.14986116
29,0.23223224,Astro,0.14982541
30,0.24024025,Astro,0.14978945
31,0.24824825,Astro,0.14975335
32,0.25625625,Astro,0.14971708
33,0.26426426,Astro,0.14968058
34,0.27227226,Astro,0.14964397
35,0.2802803,Astro,0.14960718
36,0.2882883,Astro,0.14957023
37,0.2962963,Astro,0.14953311
38,0.3043043,Astro,0.14949581
39,0.3123123,Astro,0.14945835
40,0.3203203,Astro,0.1494207
41,0.3283283,Astro,0.14938295
42,0.3363363,Astro,0.14934501
43,0.34434432,Astro,0.1493069
44,0.35235235,Astro,0.14926864
45,0.36036035,Astro,0.14923018
46,0.36836836,Astro,0.14919163
47,0.37637636,Astro,0.14915286
48,0.3843844,Astro,0.14911397
49,0.3923924,Astro,0.14907491
50,0.4004004,Astro,0.1490357
51,0.4084084,Astro,0.14899635
52,0.41641644,Astro,0.14895684
53,0.42442444,Astro,0.1489172
54,0.43243244,Astro,0.14887737
55,0.44044045,Astro,0.1488374
56,0.44844845,Astro,0.14879735
57,0.45645645,Astro,0.14875707
58,0.46446446,Astro,0.14871664
59,0.4724725,Astro,0.14867611
60,0.4804805,Astro,0.1486354
61,0.4884885,Astro,0.14859459
62,0.4964965,Astro,0.14855365
63,0.5045045,Astro,0.14851253
64,0.5125125,Astro,0.14847128
65,0.5205205,Astro,0.14842992
66,0.5285285,Astro,0.14838837
67,0.5365365,Astro,0.14834672
68,0.5445445,Astro,0.14830492
69,0.5525525,Astro,0.148263
70,0.5605606,Astro,0.14822096
71,0.5685686,Astro,0.14817876
72,0.5765766,Astro,0.14813648
73,0.5845846,Astro,0.14809401
74,0.5925926,Astro,0.14805147
75,0.6006006,Astro,0.14800878
76,0.6086086,Astro,0.14796595
77,0.6166166,Astro,0.14792302
78,0.6246246,Astro,0.14787997
79,0.6326327,Astro,0.14783677
80,0.6406406,Astro,0.14779346
81,0.6486486,Astro,0.14775008
82,0.6566566,Astro,0.14770654
83,0.6646646,Astro,0.14766291
84,0.6726726,Astro,0.14761914
85,0.68068063,Astro,0.14757527
86,0.68868864,Astro,0.14753127
87,0.6966967,Astro,0.14748721
88,0.7047047,Astro,0.14744298
89,0.7127127,Astro,0.14739868
90,0.7207207,Astro,0.14735427
91,0.7287287,Astro,0.14730978
92,0.7367367,Astro,0.14726517
93,0.7447447,Astro,0.14722043
94,0.7527528,Astro,0.14717562
95,0.7607608,Astro,0.1471307
96,0.7687688,Astro,0.14708571
97,0.7767768,Astro,0.14704056
98,0.7847848,Astro,0.1469954
99,0.7927928,Astro,0.14695008
100,0.8008008,Astro,0.1469047
101,0.8088088,Astro,0.14685924
102,0.8168168,Astro,0.14681365
103,0.82482487,Astro,0.14676799
104,0.8328328,Astro,0.14672224
105,0.8408408,Astro,0.14667645
106,0.8488488,Astro,0.14663053
107,0.8568568,Astro,0.14658459
108,0.8648648,Astro,0.14653853
109,0.8728728,Astro,0.14649236
110,0.88088083,Astro,0.14644614
111,0.8888889,Astro,0.14639984
112,0.8968969,Astro,0.14635348
113,0.9049049,Astro,0.14630705
114,0.9129129,Astro,0.14626053
115,0.9209209,Astro,0.14621395
116,0.9289289,Astro,0.1461673
117,0.9369369,Astro,0.14612058
118,0.944945,Astro,0.14607383
119,0.952953,Astro,0.146027
120,0.9609609,Astro,0.14598009
121,0.9689689,Astro,0.14593314
122,0.97697693,Astro,0.14588611
123,0.98498493,Astro,0.14583904
124,0.99299294,Astro,0.14579192
125,1.001001,Astro,0.14574476
126,1.009009,Astro,0.1456975
127,1.017017,Astro,0.14565021
128,1.025025,Astro,0.1456029
129,1.033033,Astro,0.14555551
130,1.041041,Astro,0.1455081
131,1.049049,Astro,0.14546064
132,1.057057,Astro,0.14541312
133,1.065065,Astro,0.1453656
134,1.073073,Astro,0.145318
135,1.081081,Astro,0.14527036
136,1.089089,Astro,0.14522271
137,1.097097,Astro,0.145175
138,1.105105,Astro,0.14512728
139,1.113113,Astro,0.1450795
140,1.121121,Astro,0.14503174
141,1.129129,Astro,0.14498392
142,1.137137,Astro,0.1449361
143,1.145145,Astro,0.14488824
144,1.1531532,Astro,0.14484031
145,1.1611612,Astro,0.14479242
146,1.1691692,Astro,0.14474453
147,1.1771772,Astro,0.14469656
148,1.1851852,Astro,0.14464863
149,1.1931932,Astro,0.14460064
150,1.2012012,Astro,0.14455265
151,1.2092092,Astro,0.14450465
152,1.2172172,Astro,0.14445667
153,1.2252252,Astro,0.14440866
154,1.2332332,Astro,0.14436063
155,1.2412412,Astro,0.1443126
156,1.2492492,Astro,0.14426461
157,1.2572572,Astro,0.14421658
158,1.2652652,Astro,0.14416859
159,1.2732732,Astro,0.14412053
160,1.2812812,Astro,0.14407252
161,1.2892892,Astro,0.14402455
162,1.2972972,Astro,0.14397654
163,1.3053052,Astro,0.14392853
164,1.3133132,Astro,0.14388055
165,1.3213212,Astro,0.14383258
166,1.3293293,Astro,0.14378466
167,1.3373373,Astro,0.1437367
168,1.3453454,Astro,0.14368878
169,1.3533534,Astro,0.14364089
170,1.3613614,Astro,0.14359301
171,1.3693694,Astro,0.14354518
172,1.3773774,Astro,0.14349732
173,1.3853854,Astro,0.14344953
174,1.3933934,Astro,0.14340179
175,1.4014014,Astro,0.14335403
176,1.4094094,Astro,0.14330631
177,1.4174174,Astro,0.14325863
178,1.4254254,Astro,0.143211
179,1.4334334,Astro,0.14316338
180,1.4414414,Astro,0.14311583
181,1.4494494,Astro,0.14306833
182,1.4574574,Astro,0.14302082
