,quantile,sample,celltype,values
0,0,A0006_S89_L002,Astro,0.122042686
1,0,A0006_S89_L002,EX,0.65627354
2,0,A0006_S89_L002,LAMP5+ IN,0.003552744
3,0,A0006_S89_L002,Microglia,0.026958829
4,0,A0006_S89_L002,NPY+LAMP5+ IN,0.0038488142
5,0,A0006_S89_L002,OPC,0.0068584383
6,0,A0006_S89_L002,Oligo,0.020082954
7,0,A0006_S89_L002,PVALB+ IN,0.06916216
8,0,A0006_S89_L002,RELN+ IN,0.0007227057
9,0,A0006_S89_L002,SST+ IN,0.015660424
10,0,A0006_S89_L002,VIP+ IN,0.00851354
11,0,A0020_S88_L002,Astro,0.14397457
12,0,A0020_S88_L002,EX,0.61686677
13,0,A0020_S88_L002,LAMP5+ IN,0.0042024753
14,0,A0020_S88_L002,Microglia,0.034075584
15,0,A0020_S88_L002,NPY+LAMP5+ IN,0.010096011
16,0,A0020_S88_L002,OPC,0.011043801
17,0,A0020_S88_L002,Oligo,0.017201636
18,0,A0020_S88_L002,PVALB+ IN,0.02441291
19,0,A0020_S88_L002,RELN+ IN,0.0022171093
20,0,A0020_S88_L002,SST+ IN,0.026474303
21,0,A0020_S88_L002,VIP+ IN,0.028877161
22,0,A0034_S87_L002,Astro,0.09848387
23,0,A0034_S87_L002,EX,0.63510936
24,0,A0034_S87_L002,LAMP5+ IN,0.007339481
25,0,A0034_S87_L002,Microglia,0.018658217
26,0,A0034_S87_L002,NPY+LAMP5+ IN,0.0023935197
27,0,A0034_S87_L002,OPC,0.005189918
28,0,A0034_S87_L002,Oligo,0.06810258
29,0,A0034_S87_L002,PVALB+ IN,0.081502974
30,0,A0034_S87_L002,RELN+ IN,0.0005074378
31,0,A0034_S87_L002,SST+ IN,0.003946279
32,0,A0034_S87_L002,VIP+ IN,0.004670469
33,0,A0048_S86_L002,Astro,0.0925175
34,0,A0048_S86_L002,EX,0.6259795
35,0,A0048_S86_L002,LAMP5+ IN,0.0011676876
36,0,A0048_S86_L002,Microglia,0.033448394
37,0,A0048_S86_L002,NPY+LAMP5+ IN,0.0005449903
38,0,A0048_S86_L002,OPC,0.005422574
39,0,A0048_S86_L002,Oligo,0.084884055
40,0,A0048_S86_L002,PVALB+ IN,0.05398452
41,0,A0048_S86_L002,RELN+ IN,0.0005353264
42,0,A0048_S86_L002,SST+ IN,0.025326602
43,0,A0048_S86_L002,VIP+ IN,0.005782588
44,0,A0062_S84_L002,Astro,0.09828333
45,0,A0062_S84_L002,EX,0.6641676
46,0,A0062_S84_L002,LAMP5+ IN,0.0013591481
47,0,A0062_S84_L002,Microglia,0.014718111
48,0,A0062_S84_L002,NPY+LAMP5+ IN,0.0010441489
49,0,A0062_S84_L002,OPC,0.0037776253
50,0,A0062_S84_L002,Oligo,0.056350306
51,0,A0062_S84_L002,PVALB+ IN,0.042135872
52,0,A0062_S84_L002,RELN+ IN,0.0026357006
53,0,A0062_S84_L002,SST+ IN,0.035485793
54,0,A0062_S84_L002,VIP+ IN,0.012550941
55,0,A0076_S83_L002,Astro,0.10257268
56,0,A0076_S83_L002,EX,0.62971324
57,0,A0076_S83_L002,LAMP5+ IN,0.0012510871
58,0,A0076_S83_L002,Microglia,0.04627745
59,0,A0076_S83_L002,NPY+LAMP5+ IN,0.00047780303
60,0,A0076_S83_L002,OPC,0.0046775853
61,0,A0076_S83_L002,Oligo,0.021060415
62,0,A0076_S83_L002,PVALB+ IN,0.0773484
63,0,A0076_S83_L002,RELN+ IN,0.0007465548
64,0,A0076_S83_L002,SST+ IN,0.034674313
65,0,A0076_S83_L002,VIP+ IN,0.0029496462
66,0,A0090_S82_L002,Astro,0.08278289
67,0,A0090_S82_L002,EX,0.64659435
68,0,A0090_S82_L002,LAMP5+ IN,0.000924009
69,0,A0090_S82_L002,Microglia,0.012702772
70,0,A0090_S82_L002,NPY+LAMP5+ IN,0.0012419439
71,0,A0090_S82_L002,OPC,0.0028489283
72,0,A0090_S82_L002,Oligo,0.0636342
73,0,A0090_S82_L002,PVALB+ IN,0.070354246
74,0,A0090_S82_L002,RELN+ IN,0.0023453338
75,0,A0090_S82_L002,SST+ IN,0.03121624
76,0,A0090_S82_L002,VIP+ IN,0.010912316
77,0,A0103,Astro,0.06950591
78,0,A0103,EX,0.22478798
79,0,A0103,LAMP5+ IN,0.00092597643
80,0,A0103,Microglia,0.05314913
81,0,A0103,NPY+LAMP5+ IN,0.015432684
82,0,A0103,OPC,0.022635147
83,0,A0103,Oligo,0.51721156
84,0,A0103,PVALB+ IN,0.0012806156
85,0,A0103,RELN+ IN,0.0042502945
86,0,A0103,SST+ IN,0.0041290177
87,0,A0103,VIP+ IN,0.019298887
88,0,A0104_S29_L001,Astro,0.19494212
89,0,A0104_S29_L001,EX,0.5915615
90,0,A0104_S29_L001,LAMP5+ IN,0.0014436544
91,0,A0104_S29_L001,Microglia,0.03321547
92,0,A0104_S29_L001,NPY+LAMP5+ IN,0.020112915
93,0,A0104_S29_L001,OPC,0.012032555
94,0,A0104_S29_L001,Oligo,7.4220465e-05
95,0,A0104_S29_L001,PVALB+ IN,0.01258462
96,0,A0104_S29_L001,RELN+ IN,0.002298208
97,0,A0104_S29_L001,SST+ IN,0.030575061
98,0,A0104_S29_L001,VIP+ IN,0.030077761
99,0,A0117_S115_L002,Astro,0.06755523
100,0,A0117_S115_L002,EX,0.00030557805
101,0,A0117_S115_L002,LAMP5+ IN,5.079352e-05
102,0,A0117_S115_L002,Microglia,0.07770885
103,0,A0117_S115_L002,NPY+LAMP5+ IN,0.00048153265
104,0,A0117_S115_L002,OPC,0.011048777
105,0,A0117_S115_L002,Oligo,0.784557
106,0,A0117_S115_L002,PVALB+ IN,0.0018450281
107,0,A0117_S115_L002,RELN+ IN,8.5544394e-05
108,0,A0117_S115_L002,SST+ IN,0.00014531202
109,0,A0117_S115_L002,VIP+ IN,0.00075340306
110,0,A0118_S28_L001,Astro,0.14852038
111,0,A0118_S28_L001,EX,0.5673268
112,0,A0118_S28_L001,LAMP5+ IN,0.004411154
113,0,A0118_S28_L001,Microglia,0.03655028
114,0,A0118_S28_L001,NPY+LAMP5+ IN,0.00908338
115,0,A0118_S28_L001,OPC,0.004979391
116,0,A0118_S28_L001,Oligo,0.10010794
117,0,A0118_S28_L001,PVALB+ IN,0.017274331
118,0,A0118_S28_L001,RELN+ IN,0.0008408778
