,quantile,sample,celltype,values
0,0,A0008_S140_L002,CD4+ TC,0.16186877
1,0,A0008_S140_L002,CD8+ TC,0.18194759
2,0,A0008_S140_L002,Cycling BC,0.012312525
3,0,A0008_S140_L002,Mature BC,0.018487666
4,0,A0008_S140_L002,Mono,0.16627784
5,0,A0008_S140_L002,NK,0.06347776
6,0,A0008_S140_L002,NKT,0.019356342
7,0,A0008_S140_L002,Plasma BC,0.027190423
8,0,A0008_S140_L002,Pre BC,0.17531595
9,0,A0008_S140_L002,mDC,0.04900906
10,0,A0009_S139_L002,CD4+ TC,0.13047893
11,0,A0009_S139_L002,CD8+ TC,0.11628926
12,0,A0009_S139_L002,Cycling BC,0.015363922
13,0,A0009_S139_L002,Mature BC,0.014302597
14,0,A0009_S139_L002,Mono,0.19257419
15,0,A0009_S139_L002,NK,0.06604135
16,0,A0009_S139_L002,NKT,0.017177068
17,0,A0009_S139_L002,Plasma BC,0.02676237
18,0,A0009_S139_L002,Pre BC,0.1986858
19,0,A0009_S139_L002,mDC,0.07072267
20,0,A0010_S19_L001,CD4+ TC,0.1555426
21,0,A0010_S19_L001,CD8+ TC,0.38667455
22,0,A0010_S19_L001,Cycling BC,0.008030251
23,0,A0010_S19_L001,Mature BC,0.015096757
24,0,A0010_S19_L001,Mono,0.06534317
25,0,A0010_S19_L001,NK,0.037583664
26,0,A0010_S19_L001,NKT,0.009738487
27,0,A0010_S19_L001,Plasma BC,0.01130479
28,0,A0010_S19_L001,Pre BC,0.14027207
29,0,A0010_S19_L001,mDC,0.033045813
30,0,A0022_S185_L002,CD4+ TC,0.14445363
31,0,A0022_S185_L002,CD8+ TC,0.13027155
32,0,A0022_S185_L002,Cycling BC,0.026412189
33,0,A0022_S185_L002,Mature BC,0.048010156
34,0,A0022_S185_L002,Mono,0.09662159
35,0,A0022_S185_L002,NK,0.02459112
36,0,A0022_S185_L002,NKT,0.018330226
37,0,A0022_S185_L002,Plasma BC,0.009117199
38,0,A0022_S185_L002,Pre BC,0.31266975
39,0,A0022_S185_L002,mDC,0.075719886
40,0,A0023_S184_L002,CD4+ TC,0.14290324
41,0,A0023_S184_L002,CD8+ TC,0.14239949
42,0,A0023_S184_L002,Cycling BC,0.016379422
43,0,A0023_S184_L002,Mature BC,0.02431363
44,0,A0023_S184_L002,Mono,0.09995098
45,0,A0023_S184_L002,NK,0.020232828
46,0,A0023_S184_L002,NKT,0.020247078
47,0,A0023_S184_L002,Plasma BC,0.011493299
48,0,A0023_S184_L002,Pre BC,0.342428
49,0,A0023_S184_L002,mDC,0.06205459
50,0,A0024_S183_L002,CD4+ TC,0.150088
51,0,A0024_S183_L002,CD8+ TC,0.34429368
52,0,A0024_S183_L002,Cycling BC,0.03203595
53,0,A0024_S183_L002,Mature BC,0.035075318
54,0,A0024_S183_L002,Mono,0.022985393
55,0,A0024_S183_L002,NK,0.014922085
56,0,A0024_S183_L002,NKT,0.012189464
57,0,A0024_S183_L002,Plasma BC,0.0045170966
58,0,A0024_S183_L002,Pre BC,0.24862222
59,0,A0024_S183_L002,mDC,0.023947751
60,0,A0036_S182_L002,CD4+ TC,0.20399025
61,0,A0036_S182_L002,CD8+ TC,0.15537323
62,0,A0036_S182_L002,Cycling BC,0.0104345875
63,0,A0036_S182_L002,Mature BC,0.015218532
64,0,A0036_S182_L002,Mono,0.16554978
65,0,A0036_S182_L002,NK,0.026213244
66,0,A0036_S182_L002,NKT,0.020974927
67,0,A0036_S182_L002,Plasma BC,0.02196003
68,0,A0036_S182_L002,Pre BC,0.16898136
69,0,A0036_S182_L002,mDC,0.068398565
70,0,A0037_S181_L002,CD4+ TC,0.19955505
71,0,A0037_S181_L002,CD8+ TC,0.13144179
72,0,A0037_S181_L002,Cycling BC,0.023689313
73,0,A0037_S181_L002,Mature BC,0.018597515
74,0,A0037_S181_L002,Mono,0.14785522
75,0,A0037_S181_L002,NK,0.024048055
76,0,A0037_S181_L002,NKT,0.02291273
77,0,A0037_S181_L002,Plasma BC,0.023342537
78,0,A0037_S181_L002,Pre BC,0.21292755
79,0,A0037_S181_L002,mDC,0.061893996
80,0,A0038_S180_L002,CD4+ TC,0.29376015
81,0,A0038_S180_L002,CD8+ TC,0.047428694
82,0,A0038_S180_L002,Cycling BC,0.001463366
83,0,A0038_S180_L002,Mature BC,0.026692213
84,0,A0038_S180_L002,Mono,0.24554074
85,0,A0038_S180_L002,NK,0.023407128
86,0,A0038_S180_L002,NKT,0.02748314
87,0,A0038_S180_L002,Plasma BC,0.034496594
88,0,A0038_S180_L002,Pre BC,0.05417284
89,0,A0038_S180_L002,mDC,0.11690341
90,0,A0050_S179_L002,CD4+ TC,0.084822804
91,0,A0050_S179_L002,CD8+ TC,0.22075616
92,0,A0050_S179_L002,Cycling BC,0.042984832
93,0,A0050_S179_L002,Mature BC,0.007580236
94,0,A0050_S179_L002,Mono,0.066757835
95,0,A0050_S179_L002,NK,0.061281387
96,0,A0050_S179_L002,NKT,0.011354069
97,0,A0050_S179_L002,Plasma BC,0.021843236
98,0,A0050_S179_L002,Pre BC,0.2328775
99,0,A0050_S179_L002,mDC,0.10892676
100,0,A0051_S178_L002,CD4+ TC,0.14419267
101,0,A0051_S178_L002,CD8+ TC,0.1734506
102,0,A0051_S178_L002,Cycling BC,0.052628573
103,0,A0051_S178_L002,Mature BC,0.008861186
104,0,A0051_S178_L002,Mono,0.0936361
105,0,A0051_S178_L002,NK,0.05835425
106,0,A0051_S178_L002,NKT,0.016014574
107,0,A0051_S178_L002,Plasma BC,0.024386512
108,0,A0051_S178_L002,Pre BC,0.25260797
109,0,A0051_S178_L002,mDC,0.041550826
110,0,A0052_S177_L002,CD4+ TC,0.057193827
111,0,A0052_S177_L002,CD8+ TC,0.23271894
112,0,A0052_S177_L002,Cycling BC,0.065939605
113,0,A0052_S177_L002,Mature BC,0.005066228
114,0,A0052_S177_L002,Mono,0.074138805
115,0,A0052_S177_L002,NK,0.05663709
116,0,A0052_S177_L002,NKT,0.014367334
117,0,A0052_S177_L002,Plasma BC,0.026414903
118,0,A0052_S177_L002,Pre BC,0.27300596
119,0,A0052_S177_L002,mDC,0.06895055
120,0,A0064_S176_L002,CD4+ TC,0.10858454
121,0,A0064_S176_L002,CD8+ TC,0.10029526
122,0,A0064_S176_L002,Cycling BC,0.025813134
123,0,A0064_S176_L002,Mature BC,0.034942556
124,0,A0064_S176_L002,Mono,0.11872831
125,0,A0064_S176_L002,NK,0.036747016
126,0,A0064_S176_L002,NKT,0.029618016
127,0,A0064_S176_L002,Plasma BC,0.018024392
128,0,A0064_S176_L002,Pre BC,0.3431936
129,0,A0064_S176_L002,mDC,0.0466714
130,0,A0065_S175_L002,CD4+ TC,0.16038038
131,0,A0065_S175_L002,CD8+ TC,0.16811009
132,0,A0065_S175_L002,Cycling BC,0.022586351
133,0,A0065_S175_L002,Mature BC,0.02856675
134,0,A0065_S175_L002,Mono,0.09779122
135,0,A0065_S175_L002,NK,0.025880631
136,0,A0065_S175_L002,NKT,0.020269133
137,0,A0065_S175_L002,Plasma BC,0.012428653
138,0,A0065_S175_L002,Pre BC,0.27519307
139,0,A0065_S175_L002,mDC,0.074118
140,0,A0066_S174_L002,CD4+ TC,0.2825779
141,0,A0066_S174_L002,CD8+ TC,0.048731264
142,0,A0066_S174_L002,Cycling BC,0.0033448453
143,0,A0066_S174_L002,Mature BC,0.034342468
144,0,A0066_S174_L002,Mono,0.24306874
145,0,A0066_S174_L002,NK,0.026868774
146,0,A0066_S174_L002,NKT,0.0249513
147,0,A0066_S174_L002,Plasma BC,0.02773392
148,0,A0066_S174_L002,Pre BC,0.06830643
149,0,A0066_S174_L002,mDC,0.1161848
150,0,A0078_S173_L002,CD4+ TC,0.06773094
151,0,A0078_S173_L002,CD8+ TC,0.1027634
152,0,A0078_S173_L002,Cycling BC,0.067141585
153,0,A0078_S173_L002,Mature BC,0.0070183557
154,0,A0078_S173_L002,Mono,0.061366644
155,0,A0078_S173_L002,NK,0.05468503
156,0,A0078_S173_L002,NKT,0.02004237
157,0,A0078_S173_L002,Plasma BC,0.04904014
158,0,A0078_S173_L002,Pre BC,0.41982672
159,0,A0078_S173_L002,mDC,0.033275753
160,0,A0079_S172_L002,CD4+ TC,0.069150016
161,0,A0079_S172_L002,CD8+ TC,0.15881976
162,0,A0079_S172_L002,Cycling BC,0.0718626
163,0,A0079_S172_L002,Mature BC,0.0063987747
164,0,A0079_S172_L002,Mono,0.044718213
165,0,A0079_S172_L002,NK,0.060249303
166,0,A0079_S172_L002,NKT,0.016841495
167,0,A0079_S172_L002,Plasma BC,0.03306834
168,0,A0079_S172_L002,Pre BC,0.37594342
169,0,A0079_S172_L002,mDC,0.048042078
170,0,A0080_S171_L002,CD4+ TC,0.12849051
171,0,A0080_S171_L002,CD8+ TC,0.2070931
172,0,A0080_S171_L002,Cycling BC,0.06531723
173,0,A0080_S171_L002,Mature BC,0.0061460254
174,0,A0080_S171_L002,Mono,0.06994267
175,0,A0080_S171_L002,NK,0.06430761
176,0,A0080_S171_L002,NKT,0.017064692
177,0,A0080_S171_L002,Plasma BC,0.022669993
178,0,A0080_S171_L002,Pre BC,0.24712047
179,0,A0080_S171_L002,mDC,0.033930197
180,0,A0092_S170_L002,CD4+ TC,0.13061246
181,0,A0092_S170_L002,CD8+ TC,0.12138026
182,0,A0092_S170_L002,Cycling BC,0.036526125
183,0,A0092_S170_L002,Mature BC,0.05055029
184,0,A0092_S170_L002,Mono,0.06500295
185,0,A0092_S170_L002,NK,0.023440706
186,0,A0092_S170_L002,NKT,0.018206444
187,0,A0092_S170_L002,Plasma BC,0.009576077
188,0,A0092_S170_L002,Pre BC,0.39501807
189,0,A0092_S170_L002,mDC,0.042549368
