,Time,Component,percent
0,0.0,BC,0.25755945
1,0.008008008,BC,0.25751308
2,0.016016016,BC,0.25746474
3,0.024024025,BC,0.25741464
4,0.03203203,BC,0.2573625
5,0.04004004,BC,0.2573086
6,0.04804805,BC,0.25725278
7,0.056056056,BC,0.2571951
8,0.06406406,BC,0.25713548
9,0.072072074,BC,0.257074
10,0.08008008,BC,0.25701064
11,0.08808809,BC,0.25694543
12,0.0960961,BC,0.25687832
13,0.1041041,BC,0.25680935
14,0.11211211,BC,0.25673854
15,0.12012012,BC,0.2566658
16,0.12812813,BC,0.25659123
17,0.13613613,BC,0.25651476
18,0.14414415,BC,0.25643647
19,0.15215215,BC,0.2563563
20,0.16016015,BC,0.25627422
21,0.16816816,BC,0.25619036
22,0.17617618,BC,0.25610462
23,0.18418418,BC,0.25601706
24,0.1921922,BC,0.25592756
25,0.2002002,BC,0.2558363
26,0.20820822,BC,0.25574324
27,0.21621622,BC,0.2556483
28,0.22422422,BC,0.25555152
29,0.23223224,BC,0.25545293
30,0.24024025,BC,0.25535256
31,0.24824825,BC,0.2552503
32,0.25625625,BC,0.25514627
33,0.26426426,BC,0.25504044
34,0.27227226,BC,0.25493282
35,0.2802803,BC,0.2548234
36,0.2882883,BC,0.25471216
37,0.2962963,BC,0.25459915
38,0.3043043,BC,0.25448442
39,0.3123123,BC,0.25436786
40,0.3203203,BC,0.25424954
41,0.3283283,BC,0.25412947
42,0.3363363,BC,0.2540076
43,0.34434432,BC,0.25388405
44,0.35235235,BC,0.25375873
45,0.36036035,BC,0.2536317
46,0.36836836,BC,0.25350294
47,0.37637636,BC,0.25337246
48,0.3843844,BC,0.25324026
49,0.3923924,BC,0.2531064
50,0.4004004,BC,0.25297076
51,0.4084084,BC,0.25283346
52,0.41641644,BC,0.2526945
53,0.42442444,BC,0.25255388
54,0.43243244,BC,0.2524116
55,0.44044045,BC,0.2522676
56,0.44844845,BC,0.25212207
57,0.45645645,BC,0.25197482
58,0.46446446,BC,0.25182596
59,0.4724725,BC,0.25167546
60,0.4804805,BC,0.25152338
61,0.4884885,BC,0.25136968
62,0.4964965,BC,0.2512144
63,0.5045045,BC,0.25105757
64,0.5125125,BC,0.25089914
