,quantile,sample,celltype,values
0,0,A0001_S121_L002,BC,0.10076388
1,0,A0001_S121_L002,CD4+ TC,0.09113626
2,0,A0001_S121_L002,CD8+ TC,0.018179836
3,0,A0001_S121_L002,Cycling,0.005066265
4,0,A0001_S121_L002,Erythrocyte,0.005488593
5,0,A0001_S121_L002,Mature BC,0.19458717
6,0,A0001_S121_L002,Mono,0.3043033
7,0,A0001_S121_L002,NK,0.017192442
8,0,A0001_S121_L002,NKT,0.015535091
9,0,A0001_S121_L002,Neutro,0.0032927413
10,0,A0001_S121_L002,Plasma BC,0.07838451
11,0,A0001_S121_L002,Pre BC,0.048915472
12,0,A0015_S120_L002,BC,0.13970007
13,0,A0015_S120_L002,CD4+ TC,0.11477214
14,0,A0015_S120_L002,CD8+ TC,0.045326177
15,0,A0015_S120_L002,Cycling,0.076938756
16,0,A0015_S120_L002,Erythrocyte,0.004751609
17,0,A0015_S120_L002,Mature BC,0.25941104
18,0,A0015_S120_L002,Mono,0.22971387
19,0,A0015_S120_L002,NK,0.021162972
20,0,A0015_S120_L002,NKT,0.007386885
21,0,A0015_S120_L002,Neutro,0.002218069
22,0,A0015_S120_L002,Plasma BC,0.004674011
23,0,A0015_S120_L002,Pre BC,0.0018215851
24,0,A0029_S119_L002,BC,0.172111
25,0,A0029_S119_L002,CD4+ TC,0.14740099
26,0,A0029_S119_L002,CD8+ TC,0.027583934
27,0,A0029_S119_L002,Cycling,0.014943776
28,0,A0029_S119_L002,Erythrocyte,0.0030254833
29,0,A0029_S119_L002,Mature BC,0.24966043
30,0,A0029_S119_L002,Mono,0.25902057
31,0,A0029_S119_L002,NK,0.011408377
32,0,A0029_S119_L002,NKT,0.0049162884
33,0,A0029_S119_L002,Neutro,0.0027034446
34,0,A0029_S119_L002,Plasma BC,0.0045060185
35,0,A0029_S119_L002,Pre BC,0.00063012046
36,0,A0043_S118_L002,BC,0.08595103
37,0,A0043_S118_L002,CD4+ TC,0.06617752
38,0,A0043_S118_L002,CD8+ TC,0.018113507
39,0,A0043_S118_L002,Cycling,0.014897506
40,0,A0043_S118_L002,Erythrocyte,0.012174194
41,0,A0043_S118_L002,Mature BC,0.16281892
42,0,A0043_S118_L002,Mono,0.35836667
43,0,A0043_S118_L002,NK,0.017602548
44,0,A0043_S118_L002,NKT,0.004646375
45,0,A0043_S118_L002,Neutro,0.009505676
46,0,A0043_S118_L002,Plasma BC,0.06270968
47,0,A0043_S118_L002,Pre BC,0.06262968
48,0,A0057_S117_L002,BC,0.15084454
49,0,A0057_S117_L002,CD4+ TC,0.17999393
50,0,A0057_S117_L002,CD8+ TC,0.03159238
