,Time,Component,percent
0,0.0,CD4+ TC,0.07152912
1,0.008008008,CD4+ TC,0.071534894
2,0.016016016,CD4+ TC,0.071540475
3,0.024024025,CD4+ TC,0.07154589
4,0.03203203,CD4+ TC,0.07155113
5,0.04004004,CD4+ TC,0.07155619
6,0.04804805,CD4+ TC,0.07156109
7,0.056056056,CD4+ TC,0.0715658
8,0.06406406,CD4+ TC,0.07157037
9,0.072072074,CD4+ TC,0.07157474
10,0.08008008,CD4+ TC,0.07157897
11,0.08808809,CD4+ TC,0.07158301
12,0.0960961,CD4+ TC,0.071586914
13,0.1041041,CD4+ TC,0.07159064
14,0.11211211,CD4+ TC,0.071594216
15,0.12012012,CD4+ TC,0.07159765
16,0.12812813,CD4+ TC,0.07160092
17,0.13613613,CD4+ TC,0.07160404
18,0.14414415,CD4+ TC,0.07160701
19,0.15215215,CD4+ TC,0.071609825
20,0.16016015,CD4+ TC,0.07161251
21,0.16816816,CD4+ TC,0.07161505
22,0.17617618,CD4+ TC,0.07161743
23,0.18418418,CD4+ TC,0.071619675
24,0.1921922,CD4+ TC,0.07162179
25,0.2002002,CD4+ TC,0.07162379
26,0.20820822,CD4+ TC,0.07162563
27,0.21621622,CD4+ TC,0.07162733
28,0.22422422,CD4+ TC,0.07162891
29,0.23223224,CD4+ TC,0.07163038
30,0.24024025,CD4+ TC,0.071631715
31,0.24824825,CD4+ TC,0.07163296
32,0.25625625,CD4+ TC,0.07163403
33,0.26426426,CD4+ TC,0.07163503
34,0.27227226,CD4+ TC,0.07163589
35,0.2802803,CD4+ TC,0.07163665
36,0.2882883,CD4+ TC,0.071637295
37,0.2962963,CD4+ TC,0.07163783
38,0.3043043,CD4+ TC,0.07163828
39,0.3123123,CD4+ TC,0.071638614
40,0.3203203,CD4+ TC,0.07163886
41,0.3283283,CD4+ TC,0.071639
42,0.3363363,CD4+ TC,0.071639046
43,0.34434432,CD4+ TC,0.071639
44,0.35235235,CD4+ TC,0.07163889
45,0.36036035,CD4+ TC,0.071638666
46,0.36836836,CD4+ TC,0.07163838
47,0.37637636,CD4+ TC,0.071637996
48,0.3843844,CD4+ TC,0.07163754
49,0.3923924,CD4+ TC,0.07163703
50,0.4004004,CD4+ TC,0.07163642
51,0.4084084,CD4+ TC,0.07163576
52,0.41641644,CD4+ TC,0.07163501
53,0.42442444,CD4+ TC,0.071634226
54,0.43243244,CD4+ TC,0.07163336
55,0.44044045,CD4+ TC,0.071632475
56,0.44844845,CD4+ TC,0.0716315
57,0.45645645,CD4+ TC,0.07163048
58,0.46446446,CD4+ TC,0.071629435
59,0.4724725,CD4+ TC,0.0716283
60,0.4804805,CD4+ TC,0.07162716
61,0.4884885,CD4+ TC,0.07162597
62,0.4964965,CD4+ TC,0.07162475
63,0.5045045,CD4+ TC,0.07162349
64,0.5125125,CD4+ TC,0.071622215
65,0.5205205,CD4+ TC,0.07162091
66,0.5285285,CD4+ TC,0.07161958
67,0.5365365,CD4+ TC,0.07161823
68,0.5445445,CD4+ TC,0.07161685
69,0.5525525,CD4+ TC,0.07161549
70,0.5605606,CD4+ TC,0.071614094
71,0.5685686,CD4+ TC,0.07161269
72,0.5765766,CD4+ TC,0.0716113
73,0.5845846,CD4+ TC,0.0716099
74,0.5925926,CD4+ TC,0.0716085
75,0.6006006,CD4+ TC,0.07160711
76,0.6086086,CD4+ TC,0.07160573
77,0.6166166,CD4+ TC,0.07160436
78,0.6246246,CD4+ TC,0.071603
79,0.6326327,CD4+ TC,0.071601674
80,0.6406406,CD4+ TC,0.071600385
81,0.6486486,CD4+ TC,0.071599096
82,0.6566566,CD4+ TC,0.071597844
83,0.6646646,CD4+ TC,0.07159663
84,0.6726726,CD4+ TC,0.07159544
85,0.68068063,CD4+ TC,0.071594305
86,0.68868864,CD4+ TC,0.071593195
87,0.6966967,CD4+ TC,0.071592145
88,0.7047047,CD4+ TC,0.071591154
89,0.7127127,CD4+ TC,0.07159021
90,0.7207207,CD4+ TC,0.07158933
91,0.7287287,CD4+ TC,0.07158849
92,0.7367367,CD4+ TC,0.07158773
93,0.7447447,CD4+ TC,0.07158702
94,0.7527528,CD4+ TC,0.071586385
95,0.7607608,CD4+ TC,0.07158585
96,0.7687688,CD4+ TC,0.07158536
97,0.7767768,CD4+ TC,0.07158496
98,0.7847848,CD4+ TC,0.07158465
99,0.7927928,CD4+ TC,0.07158442
100,0.8008008,CD4+ TC,0.071584284
101,0.8088088,CD4+ TC,0.07158425
102,0.8168168,CD4+ TC,0.0715843
103,0.82482487,CD4+ TC,0.07158444
104,0.8328328,CD4+ TC,0.07158468
105,0.8408408,CD4+ TC,0.071585044
106,0.8488488,CD4+ TC,0.07158553
107,0.8568568,CD4+ TC,0.07158608
108,0.8648648,CD4+ TC,0.07158678
109,0.8728728,CD4+ TC,0.07158758
110,0.88088083,CD4+ TC,0.07158852
111,0.8888889,CD4+ TC,0.071589574
112,0.8968969,CD4+ TC,0.07159077
113,0.9049049,CD4+ TC,0.07159208
114,0.9129129,CD4+ TC,0.071593516
115,0.9209209,CD4+ TC,0.071595095
116,0.9289289,CD4+ TC,0.07159681
117,0.9369369,CD4+ TC,0.071598664
118,0.944945,CD4+ TC,0.07160067
119,0.952953,CD4+ TC,0.07160282
120,0.9609609,CD4+ TC,0.07160511
121,0.9689689,CD4+ TC,0.07160756
122,0.97697693,CD4+ TC,0.071610145
123,0.98498493,CD4+ TC,0.07161291
124,0.99299294,CD4+ TC,0.071615815
125,1.001001,CD4+ TC,0.0716189
126,1.009009,CD4+ TC,0.07162213
127,1.017017,CD4+ TC,0.07162554
128,1.025025,CD4+ TC,0.07162909
129,1.033033,CD4+ TC,0.07163283
130,1.041041,CD4+ TC,0.07163674
131,1.049049,CD4+ TC,0.07164082
132,1.057057,CD4+ TC,0.07164507
133,1.065065,CD4+ TC,0.071649484
