,quantile,sample,celltype,values
107,0,A0169_S109_L002,Pre BC,0.0033221678
108,0,A0183_S108_L002,CD4+ TC,0.022162447
109,0,A0183_S108_L002,CD8+ TC,0.011858984
110,0,A0183_S108_L002,Cycling,0.00068442244
111,0,A0183_S108_L002,Mature BC,0.4959449
112,0,A0183_S108_L002,Mono,0.29867136
113,0,A0183_S108_L002,NK,0.014282529
114,0,A0183_S108_L002,Neutro,0.002285599
115,0,A0183_S108_L002,Plasma BC,0.019596374
116,0,A0183_S108_L002,Pre BC,0.060182076
117,0,A0197_S107_L002,CD4+ TC,0.043658707
118,0,A0197_S107_L002,CD8+ TC,0.06336465
119,0,A0197_S107_L002,Cycling,0.06287658
120,0,A0197_S107_L002,Mature BC,0.19342746
121,0,A0197_S107_L002,Mono,0.37112743
122,0,A0197_S107_L002,NK,0.029814921
123,0,A0197_S107_L002,Neutro,0.004905153
124,0,A0197_S107_L002,Plasma BC,0.04044304
125,0,A0197_S107_L002,Pre BC,0.07340852
126,0,A0211_S106_L002,CD4+ TC,0.045850407
127,0,A0211_S106_L002,CD8+ TC,0.028156335
128,0,A0211_S106_L002,Cycling,0.0046705734
129,0,A0211_S106_L002,Mature BC,0.4910627
130,0,A0211_S106_L002,Mono,0.25051713
131,0,A0211_S106_L002,NK,0.024095885
132,0,A0211_S106_L002,Neutro,0.0017234083
133,0,A0211_S106_L002,Plasma BC,0.027102765
134,0,A0211_S106_L002,Pre BC,0.05014867
135,0,A0225_S24_L001,CD4+ TC,0.02921684
136,0,A0225_S24_L001,CD8+ TC,0.047685508
137,0,A0225_S24_L001,Cycling,0.009558922
138,0,A0225_S24_L001,Mature BC,0.44451815
139,0,A0225_S24_L001,Mono,0.26749277
140,0,A0225_S24_L001,NK,0.027801812
141,0,A0225_S24_L001,Neutro,0.0027312778
142,0,A0225_S24_L001,Plasma BC,0.034190387
143,0,A0225_S24_L001,Pre BC,0.05190484
144,0,A0239_S23_L001,CD4+ TC,0.07310337
145,0,A0239_S23_L001,CD8+ TC,0.077435
146,0,A0239_S23_L001,Cycling,0.066019446
147,0,A0239_S23_L001,Mature BC,0.5547978
148,0,A0239_S23_L001,Mono,0.04889666
149,0,A0239_S23_L001,NK,0.012966941
150,0,A0239_S23_L001,Neutro,0.0032176108
151,0,A0239_S23_L001,Plasma BC,0.007380677
152,0,A0239_S23_L001,Pre BC,0.0673026
153,0,A0253_S22_L001,CD4+ TC,0.057274185
154,0,A0253_S22_L001,CD8+ TC,0.08516701
155,0,A0253_S22_L001,Cycling,0.0050733862
156,0,A0253_S22_L001,Mature BC,0.5913511
157,0,A0253_S22_L001,Mono,0.071950465
158,0,A0253_S22_L001,NK,0.025582312
159,0,A0253_S22_L001,Neutro,0.0025558283
160,0,A0253_S22_L001,Plasma BC,0.019167636
161,0,A0253_S22_L001,Pre BC,0.058043875
162,0,A0267_S11_L001,CD4+ TC,0.05955525
163,0,A0267_S11_L001,CD8+ TC,0.09573399
164,0,A0267_S11_L001,Cycling,0.0004240762
165,0,A0267_S11_L001,Mature BC,0.631299
166,0,A0267_S11_L001,Mono,0.056449324
167,0,A0267_S11_L001,NK,0.024269773
168,0,A0267_S11_L001,Neutro,0.0025524953
169,0,A0267_S11_L001,Plasma BC,0.017360946
170,0,A0267_S11_L001,Pre BC,0.0414241
171,0,A0281_S10_L001,CD4+ TC,0.030096192
172,0,A0281_S10_L001,CD8+ TC,0.0697209
173,0,A0281_S10_L001,Cycling,0.03230367
174,0,A0281_S10_L001,Mature BC,0.46832272
175,0,A0281_S10_L001,Mono,0.22752717
176,0,A0281_S10_L001,NK,0.021569306
177,0,A0281_S10_L001,Neutro,0.0027507786
178,0,A0281_S10_L001,Plasma BC,0.02972578
179,0,A0281_S10_L001,Pre BC,0.021866927
180,1,A0001_S121_L002,CD4+ TC,0.040361904
181,1,A0001_S121_L002,CD8+ TC,0.06982304
182,1,A0001_S121_L002,Cycling,0.00913487
183,1,A0001_S121_L002,Mature BC,0.3363654
184,1,A0001_S121_L002,Mono,0.34169078
185,1,A0001_S121_L002,NK,0.028252147
186,1,A0001_S121_L002,Neutro,0.0044262246
187,1,A0001_S121_L002,Plasma BC,0.06313695
188,1,A0001_S121_L002,Pre BC,0.08408991
189,1,A0015_S120_L002,CD4+ TC,0.0423504
190,1,A0015_S120_L002,CD8+ TC,0.07599912
191,1,A0015_S120_L002,Cycling,0.09132573
192,1,A0015_S120_L002,Mature BC,0.44819522
193,1,A0015_S120_L002,Mono,0.2511259
194,1,A0015_S120_L002,NK,0.036892593
195,1,A0015_S120_L002,Neutro,0.008392598
196,1,A0015_S120_L002,Plasma BC,0.014117479
197,1,A0015_S120_L002,Pre BC,0.0068831067
198,1,A0029_S119_L002,CD4+ TC,0.06852048
199,1,A0029_S119_L002,CD8+ TC,0.054541226
200,1,A0029_S119_L002,Cycling,0.01760823
201,1,A0029_S119_L002,Mature BC,0.50227255
202,1,A0029_S119_L002,Mono,0.28323188
203,1,A0029_S119_L002,NK,0.02664042
204,1,A0029_S119_L002,Neutro,0.004450625
205,1,A0029_S119_L002,Plasma BC,0.012277555
206,1,A0029_S119_L002,Pre BC,0.00573847
207,1,A0043_S118_L002,CD4+ TC,0.04286994
208,1,A0043_S118_L002,CD8+ TC,0.060822405
209,1,A0043_S118_L002,Cycling,0.019225512
210,1,A0043_S118_L002,Mature BC,0.28363043
211,1,A0043_S118_L002,Mono,0.3860173
212,1,A0043_S118_L002,NK,0.022562804
213,1,A0043_S118_L002,Neutro,0.0054525975
214,1,A0043_S118_L002,Plasma BC,0.051899243
215,1,A0043_S118_L002,Pre BC,0.102498665
216,1,A0057_S117_L002,CD4+ TC,0.05724012
217,1,A0057_S117_L002,CD8+ TC,0.113680184
218,1,A0057_S117_L002,Cycling,0.029967383
219,1,A0057_S117_L002,Mature BC,0.53366274
220,1,A0057_S117_L002,Mono,0.1651974
221,1,A0057_S117_L002,NK,0.035331033
