,Time,Component,percent
0,0.0,Ascending LOH,0.033436082
1,0.008008008,Ascending LOH,0.033436753
2,0.016016016,Ascending LOH,0.033437256
3,0.024024025,Ascending LOH,0.033437584
4,0.03203203,Ascending LOH,0.03343774
5,0.04004004,Ascending LOH,0.03343772
6,0.04804805,Ascending LOH,0.03343753
7,0.056056056,Ascending LOH,0.033437178
8,0.06406406,Ascending LOH,0.033436645
9,0.072072074,Ascending LOH,0.03343595
10,0.08008008,Ascending LOH,0.033435084
11,0.08808809,Ascending LOH,0.033434052
12,0.0960961,Ascending LOH,0.03343285
13,0.1041041,Ascending LOH,0.03343148
14,0.11211211,Ascending LOH,0.033429943
15,0.12012012,Ascending LOH,0.033428248
16,0.12812813,Ascending LOH,0.033426385
17,0.13613613,Ascending LOH,0.03342436
18,0.14414415,Ascending LOH,0.033422176
19,0.15215215,Ascending LOH,0.03341982
20,0.16016015,Ascending LOH,0.03341732
21,0.16816816,Ascending LOH,0.033414654
22,0.17617618,Ascending LOH,0.033411834
23,0.18418418,Ascending LOH,0.03340885
24,0.1921922,Ascending LOH,0.033405717
25,0.2002002,Ascending LOH,0.03340243
26,0.20820822,Ascending LOH,0.033398986
27,0.21621622,Ascending LOH,0.033395395
28,0.22422422,Ascending LOH,0.03339165
29,0.23223224,Ascending LOH,0.033387765
30,0.24024025,Ascending LOH,0.033383735
31,0.24824825,Ascending LOH,0.033379555
32,0.25625625,Ascending LOH,0.033375233
33,0.26426426,Ascending LOH,0.033370767
34,0.27227226,Ascending LOH,0.033366162
35,0.2802803,Ascending LOH,0.033361413
36,0.2882883,Ascending LOH,0.033356536
37,0.2962963,Ascending LOH,0.03335152
38,0.3043043,Ascending LOH,0.03334637
39,0.3123123,Ascending LOH,0.033341084
40,0.3203203,Ascending LOH,0.03333567
41,0.3283283,Ascending LOH,0.033330135
42,0.3363363,Ascending LOH,0.033324473
43,0.34434432,Ascending LOH,0.033318676
44,0.35235235,Ascending LOH,0.033312764
45,0.36036035,Ascending LOH,0.033306736
46,0.36836836,Ascending LOH,0.033300582
47,0.37637636,Ascending LOH,0.033294316
48,0.3843844,Ascending LOH,0.033287935
49,0.3923924,Ascending LOH,0.03328144
50,0.4004004,Ascending LOH,0.033274844
51,0.4084084,Ascending LOH,0.03326813
52,0.41641644,Ascending LOH,0.033261314
53,0.42442444,Ascending LOH,0.033254396
54,0.43243244,Ascending LOH,0.033247378
