,quantile,sample,celltype,values
0,0,A0002_S124_L002,Ascending LOH,0.056953505
1,0,A0002_S124_L002,BC,0.0028091103
2,0,A0002_S124_L002,CD4+ TC,0.00058624917
3,0,A0002_S124_L002,CD8+ TC,0.0012562065
4,0,A0002_S124_L002,Connecting tubule,0.048665542
5,0,A0002_S124_L002,Descending LOH,0.12168741
6,0,A0002_S124_L002,Distal convoluted tubule,0.0013511475
7,0,A0002_S124_L002,Endo,0.056002047
8,0,A0002_S124_L002,Erythrocyte,0.015393408
9,0,A0002_S124_L002,Intercalated,0.030392174
10,0,A0002_S124_L002,Mono,0.10489521
11,0,A0002_S124_L002,Myofibro,0.022110427
12,0,A0002_S124_L002,NK,0.0011992943
13,0,A0002_S124_L002,NKT,0.0025376235
14,0,A0002_S124_L002,Plasma BC,0.008029112
15,0,A0002_S124_L002,Podocyte,0.005943746
16,0,A0002_S124_L002,Principal,0.117710814
17,0,A0002_S124_L002,Principal like,0.01795885
18,0,A0002_S124_L002,Proximal tubule S1,0.129741
19,0,A0002_S124_L002,Proximal tubule S3,0.068082094
20,0,A0016_S123_L002,Ascending LOH,0.05400996
21,0,A0016_S123_L002,BC,0.003128664
22,0,A0016_S123_L002,CD4+ TC,0.0034177816
23,0,A0016_S123_L002,CD8+ TC,0.001613584
24,0,A0016_S123_L002,Connecting tubule,0.1391312
25,0,A0016_S123_L002,Descending LOH,0.02562668
26,0,A0016_S123_L002,Distal convoluted tubule,0.043029577
27,0,A0016_S123_L002,Endo,0.043965843
28,0,A0016_S123_L002,Erythrocyte,0.0010750213
29,0,A0016_S123_L002,Intercalated,0.02361837
30,0,A0016_S123_L002,Mono,0.020912435
31,0,A0016_S123_L002,Myofibro,0.038155816
32,0,A0016_S123_L002,NK,0.0018017357
33,0,A0016_S123_L002,NKT,0.0031114575
34,0,A0016_S123_L002,Plasma BC,0.0015270772
35,0,A0016_S123_L002,Podocyte,0.005845599
36,0,A0016_S123_L002,Principal,0.044294585
37,0,A0016_S123_L002,Principal like,0.0031851004
38,0,A0016_S123_L002,Proximal tubule S1,0.19288506
39,0,A0016_S123_L002,Proximal tubule S3,0.19191737
40,0,A0030_S122_L002,Ascending LOH,0.013976118
41,0,A0030_S122_L002,BC,0.007447995
42,0,A0030_S122_L002,CD4+ TC,0.0029653166
