,Time,Component,percent
0,3.0,AT1,0.13964374
1,3.0030031,AT1,0.13964362
2,3.006006,AT1,0.13964327
3,3.0090091,AT1,0.13964266
4,3.012012,AT1,0.13964178
5,3.0150151,AT1,0.13964064
6,3.018018,AT1,0.13963927
7,3.0210211,AT1,0.13963763
8,3.024024,AT1,0.13963574
9,3.0270271,AT1,0.1396336
10,3.03003,AT1,0.1396312
11,3.0330331,AT1,0.13962854
12,3.036036,AT1,0.13962568
13,3.0390391,AT1,0.13962252
14,3.042042,AT1,0.13961913
15,3.0450451,AT1,0.13961552
16,3.048048,AT1,0.13961163
17,3.0510511,AT1,0.13960752
18,3.054054,AT1,0.1396032
19,3.0570571,AT1,0.13959861
20,3.06006,AT1,0.13959377
21,3.0630631,AT1,0.13958873
22,3.066066,AT1,0.13958347
23,3.0690691,AT1,0.13957797
24,3.072072,AT1,0.13957225
25,3.0750751,AT1,0.13956632
26,3.078078,AT1,0.13956015
27,3.0810812,AT1,0.13955379
28,3.084084,AT1,0.13954718
29,3.0870872,AT1,0.13954039
30,3.09009,AT1,0.13953342
31,3.0930932,AT1,0.1395262
32,3.096096,AT1,0.13951884
33,3.0990992,AT1,0.13951126
34,3.102102,AT1,0.13950348
35,3.1051052,AT1,0.13949552
36,3.108108,AT1,0.13948737
37,3.1111112,AT1,0.13947904
38,3.114114,AT1,0.13947056
39,3.1171172,AT1,0.13946192
40,3.12012,AT1,0.1394531
41,3.1231232,AT1,0.1394441
42,3.126126,AT1,0.13943496
43,3.1291292,AT1,0.13942567
44,3.132132,AT1,0.1394162
45,3.1351352,AT1,0.13940662
46,3.138138,AT1,0.13939692
47,3.1411412,AT1,0.13938706
48,3.144144,AT1,0.13937707
49,3.1471472,AT1,0.13936694
50,3.15015,AT1,0.13935672
51,3.1531532,AT1,0.13934638
52,3.156156,AT1,0.13933592
53,3.1591592,AT1,0.13932537
54,3.162162,AT1,0.1393147
55,3.1651652,AT1,0.13930395
56,3.168168,AT1,0.13929309
57,3.1711712,AT1,0.13928217
58,3.174174,AT1,0.13927114
59,3.1771772,AT1,0.13926008
60,3.18018,AT1,0.1392489
61,3.1831832,AT1,0.1392377
62,3.1861863,AT1,0.1392264
63,3.1891892,AT1,0.13921508
64,3.192192,AT1,0.13920368
65,3.1951952,AT1,0.13919227
66,3.1981983,AT1,0.13918081
67,3.2012012,AT1,0.1391693
68,3.204204,AT1,0.13915776
69,3.2072072,AT1,0.13914622
70,3.2102103,AT1,0.13913466
71,3.2132132,AT1,0.13912307
72,3.2162163,AT1,0.13911149
73,3.2192192,AT1,0.1390999
74,3.2222223,AT1,0.13908832
75,3.2252252,AT1,0.13907671
76,3.2282283,AT1,0.13906515
77,3.2312312,AT1,0.13905361
78,3.2342343,AT1,0.13904208
79,3.2372372,AT1,0.13903056
80,3.2402403,AT1,0.1390191
81,3.2432432,AT1,0.13900766
82,3.2462463,AT1,0.13899629
83,3.2492492,AT1,0.13898495
84,3.252252,AT1,0.13897365
85,3.2552552,AT1,0.13896243
86,3.2582583,AT1,0.13895126
87,3.2612612,AT1,0.13894019
88,3.2642643,AT1,0.13892916
89,3.2672672,AT1,0.13891819
90,3.2702703,AT1,0.13890731
91,3.2732732,AT1,0.13889654
92,3.2762764,AT1,0.13888587
93,3.2792792,AT1,0.13887525
94,3.2822824,AT1,0.13886479
95,3.2852852,AT1,0.13885438
96,3.2882884,AT1,0.13884412
97,3.2912912,AT1,0.13883395
98,3.2942944,AT1,0.13882391
99,3.2972972,AT1,0.13881399
100,3.3003004,AT1,0.13880417
101,3.3033032,AT1,0.13879453
102,3.3063064,AT1,0.13878499
103,3.3093092,AT1,0.1387756
104,3.3123124,AT1,0.13876636
105,3.3153152,AT1,0.13875727
106,3.3183184,AT1,0.13874833
107,3.3213212,AT1,0.13873956
108,3.3243244,AT1,0.13873091
109,3.3273273,AT1,0.13872246
110,3.3303304,AT1,0.13871416
111,3.3333333,AT1,0.13870606
112,3.3363364,AT1,0.13869809
113,3.3393393,AT1,0.13869032
114,3.3423424,AT1,0.13868274
115,3.3453453,AT1,0.13867536
116,3.3483484,AT1,0.13866815
117,3.3513513,AT1,0.13866115
118,3.3543544,AT1,0.13865434
119,3.3573575,AT1,0.13864772
120,3.3603604,AT1,0.13864133
121,3.3633633,AT1,0.13863514
122,3.3663664,AT1,0.13862917
123,3.3693693,AT1,0.13862339
124,3.3723724,AT1,0.13861786
125,3.3753753,AT1,0.13861252
126,3.3783784,AT1,0.13860741
