,quantile,sample,celltype,values
0,0,A0025,AT1,0.10076343
1,0,A0025,AT2,0.008558246
2,0,A0025,Arterial endo,0.00999182
3,0,A0025,BC,0.06111899
4,0,A0025,CD4+ TC,0.060571715
5,0,A0025,CD8+ TC,0.008842483
6,0,A0025,Capillary endo,0.010068223
7,0,A0025,Ciliated,0.00041495086
8,0,A0025,Club,0.0029964256
9,0,A0025,DC,0.003053488
10,0,A0025,Endo,0.06813647
11,0,A0025,Erythrocyte,0.011906639
12,0,A0025,Macro,0.02518655
13,0,A0025,Meso,0.033181608
14,0,A0025,Mono,0.06920555
15,0,A0025,Myofibro,0.16688722
16,0,A0025,NK,0.023767948
17,0,A0025,NKT,0.031918213
18,0,A0025,Peribronchial endo,0.008216607
19,0,A0025,Plasma BC,0.03948347
20,0,A0025,Venous endo,0.0046698027
21,0,A0095,AT1,0.13284871
22,0,A0095,AT2,0.069126315
23,0,A0095,Arterial endo,0.0022115484
24,0,A0095,BC,0.039565656
25,0,A0095,CD4+ TC,0.060046937
26,0,A0095,CD8+ TC,0.009031745
27,0,A0095,Capillary endo,0.0024237952
28,0,A0095,Ciliated,0.00028912653
29,0,A0095,Club,0.011091114
30,0,A0095,DC,0.0040030573
31,0,A0095,Endo,0.019034883
32,0,A0095,Erythrocyte,0.0014002488
33,0,A0095,Macro,0.02452571
34,0,A0095,Meso,0.053414673
35,0,A0095,Mono,0.060581207
36,0,A0095,Myofibro,0.15145265
37,0,A0095,NK,0.03516379
38,0,A0095,NKT,0.021867862
39,0,A0095,Peribronchial endo,0.040829223
40,0,A0095,Plasma BC,0.046074226
41,0,A0095,Venous endo,0.0037657006
42,0,A0123_L2,AT1,0.1042891
43,0,A0123_L2,AT2,0.0021061134
44,0,A0123_L2,Arterial endo,0.012229729
45,0,A0123_L2,BC,0.036094952
46,0,A0123_L2,CD4+ TC,0.027475279
47,0,A0123_L2,CD8+ TC,0.042855565
48,0,A0123_L2,Capillary endo,0.033039834
49,0,A0123_L2,Ciliated,0.00066624256
50,0,A0123_L2,Club,0.00032222283
51,0,A0123_L2,DC,0.014962119
52,0,A0123_L2,Endo,0.10217577
53,0,A0123_L2,Erythrocyte,0.0033359372
54,0,A0123_L2,Macro,0.020169927
55,0,A0123_L2,Meso,0.044793706
56,0,A0123_L2,Mono,0.11329653
57,0,A0123_L2,Myofibro,0.08467414
58,0,A0123_L2,NK,0.05193209
59,0,A0123_L2,NKT,0.017438756
60,0,A0123_L2,Peribronchial endo,0.025392968
61,0,A0123_L2,Plasma BC,0.03281272
62,0,A0123_L2,Venous endo,0.0012986421
63,0,A0137,AT1,0.121176966
64,0,A0137,AT2,0.01134393
65,0,A0137,Arterial endo,0.013297137
66,0,A0137,BC,0.021504853
67,0,A0137,CD4+ TC,0.0058024367
68,0,A0137,CD8+ TC,0.054169044
69,0,A0137,Capillary endo,0.048860934
70,0,A0137,Ciliated,0.0001860195
71,0,A0137,Club,0.036111172
72,0,A0137,DC,0.016608048
73,0,A0137,Endo,0.014702648
74,0,A0137,Erythrocyte,0.025928156
75,0,A0137,Macro,0.039105497
76,0,A0137,Meso,0.034432452
77,0,A0137,Mono,0.16016515
78,0,A0137,Myofibro,0.08438322
79,0,A0137,NK,0.019015556
80,0,A0137,NKT,0.068749785
81,0,A0137,Peribronchial endo,0.015145766
82,0,A0137,Plasma BC,0.036576264
83,0,A0137,Venous endo,0.0059986264
84,0,A0179,AT1,0.20564793
85,0,A0179,AT2,0.10339461
86,0,A0179,Arterial endo,0.0044999802
87,0,A0179,BC,0.0108580515
88,0,A0179,CD4+ TC,0.08987382
89,0,A0179,CD8+ TC,0.00830431
90,0,A0179,Capillary endo,0.0066238497
91,0,A0179,Ciliated,0.052896433
92,0,A0179,Club,0.00608322
93,0,A0179,DC,0.0038084907
94,0,A0179,Endo,0.011477404
95,0,A0179,Erythrocyte,0.0067888214
96,0,A0179,Macro,0.024720144
97,0,A0179,Meso,0.019786425
98,0,A0179,Mono,0.09354665
99,0,A0179,Myofibro,0.05259344
100,0,A0179,NK,0.011043264
101,0,A0179,NKT,0.04244883
102,0,A0179,Peribronchial endo,0.019189147
103,0,A0179,Plasma BC,0.02000654
104,0,A0179,Venous endo,0.0016932767
105,0,A0221_A,AT1,0.06307416
106,0,A0221_A,AT2,0.0083816275
107,0,A0221_A,Arterial endo,0.007355197
108,0,A0221_A,BC,0.0069498084
109,0,A0221_A,CD4+ TC,0.007483948
110,0,A0221_A,CD8+ TC,0.04867406
111,0,A0221_A,Capillary endo,0.050004907
112,0,A0221_A,Ciliated,0.032727525
113,0,A0221_A,Club,0.04158282
114,0,A0221_A,DC,0.0013736624
115,0,A0221_A,Endo,0.002092823
116,0,A0221_A,Erythrocyte,0.010396231
117,0,A0221_A,Macro,0.039881233
118,0,A0221_A,Meso,0.055413473
119,0,A0221_A,Mono,0.2040784
120,0,A0221_A,Myofibro,0.025711548
121,0,A0221_A,NK,0.055394705
122,0,A0221_A,NKT,0.01449183
123,0,A0221_A,Peribronchial endo,0.0012944668
124,0,A0221_A,Plasma BC,0.014879524
125,0,A0221_A,Venous endo,0.0027773143
126,0,A0235,AT1,0.02265889
127,0,A0235,AT2,0.0045798975
128,0,A0235,Arterial endo,0.03140582
129,0,A0235,BC,0.053732134
130,0,A0235,CD4+ TC,0.034497924
131,0,A0235,CD8+ TC,0.047708552
132,0,A0235,Capillary endo,0.049365457
133,0,A0235,Ciliated,0.0017067464
134,0,A0235,Club,0.06294733
135,0,A0235,DC,0.067919634
136,0,A0235,Endo,0.028303852
137,0,A0235,Erythrocyte,0.019572912
138,0,A0235,Macro,0.055233184
139,0,A0235,Meso,0.018702416
140,0,A0235,Mono,0.11693281
141,0,A0235,Myofibro,0.033322725
142,0,A0235,NK,0.0155009385
143,0,A0235,NKT,0.015610916
144,0,A0235,Peribronchial endo,0.021906236
145,0,A0235,Plasma BC,0.027570328
146,0,A0235,Venous endo,0.012564887
147,1,A0025,AT1,0.11428858
148,1,A0025,AT2,0.011813931
149,1,A0025,Arterial endo,0.016125482
150,1,A0025,BC,0.073944256
151,1,A0025,CD4+ TC,0.07130292
152,1,A0025,CD8+ TC,0.016837431
153,1,A0025,Capillary endo,0.017107982
154,1,A0025,Ciliated,0.0012079033
155,1,A0025,Club,0.005547897
156,1,A0025,DC,0.0056152833
157,1,A0025,Endo,0.07721409
158,1,A0025,Erythrocyte,0.020619169
159,1,A0025,Macro,0.032126606
160,1,A0025,Meso,0.04175567
161,1,A0025,Mono,0.078993395
162,1,A0025,Myofibro,0.18510033
163,1,A0025,NK,0.031546373
164,1,A0025,NKT,0.04668801
165,1,A0025,Peribronchial endo,0.011338957
166,1,A0025,Plasma BC,0.0537336
167,1,A0025,Venous endo,0.011501411
168,1,A0095,AT1,0.14392945
169,1,A0095,AT2,0.082981266
170,1,A0095,Arterial endo,0.004373767
171,1,A0095,BC,0.04731944
172,1,A0095,CD4+ TC,0.07133426
173,1,A0095,CD8+ TC,0.01432926
174,1,A0095,Capillary endo,0.004838597
