,quantile,sample,celltype,values
0,0,A0003,Central hep,0.015873766
1,0,A0003,Cholangiocyte,0.16324782
2,0,A0003,DC,0.008549095
3,0,A0003,Endo,0.031827804
4,0,A0003,Kupffer,0.01645019
5,0,A0003,Midzonal hep,0.43526423
6,0,A0003,Mono,0.107842095
7,0,A0003,Portal hep,0.01799951
8,0,A0003,Stellate,0.08661669
9,0,A0101,Central hep,0.5057613
10,0,A0101,Cholangiocyte,0.070784844
11,0,A0101,DC,0.03663574
12,0,A0101,Endo,0.03026739
13,0,A0101,Kupffer,0.011642914
14,0,A0101,Midzonal hep,0.16955438
15,0,A0101,Mono,0.00891446
16,0,A0101,Portal hep,0.0013918497
17,0,A0101,Stellate,0.057004716
18,0,A0115,Central hep,0.47811016
19,0,A0115,Cholangiocyte,0.10210104
20,0,A0115,DC,0.07152783
21,0,A0115,Endo,0.037080374
22,0,A0115,Kupffer,0.04000775
23,0,A0115,Midzonal hep,0.018497415
24,0,A0115,Mono,0.020004062
25,0,A0115,Portal hep,0.024822941
26,0,A0115,Stellate,0.07179806
27,0,A0129,Central hep,0.009204023
28,0,A0129,Cholangiocyte,0.071855426
29,0,A0129,DC,0.004155566
30,0,A0129,Endo,0.021788482
31,0,A0129,Kupffer,0.017838437
32,0,A0129,Midzonal hep,0.5943775
33,0,A0129,Mono,0.062352516
34,0,A0129,Portal hep,0.058007255
35,0,A0129,Stellate,0.048991576
36,0,A0157_S56_L001,Central hep,0.053045627
37,0,A0157_S56_L001,Cholangiocyte,0.1402185
38,0,A0157_S56_L001,DC,0.012631916
39,0,A0157_S56_L001,Endo,0.021267265
40,0,A0157_S56_L001,Kupffer,0.011990212
41,0,A0157_S56_L001,Midzonal hep,0.48302037
42,0,A0157_S56_L001,Mono,0.086340405
43,0,A0157_S56_L001,Portal hep,0.01341474
44,0,A0157_S56_L001,Stellate,0.060459137
45,0,A0171,Central hep,0.46245906
46,0,A0171,Cholangiocyte,0.049428184
47,0,A0171,DC,0.045144178
48,0,A0171,Endo,0.0316183
49,0,A0171,Kupffer,0.035495378
50,0,A0171,Midzonal hep,0.070874594
51,0,A0171,Mono,0.031771414
52,0,A0171,Portal hep,0.06702445
53,0,A0171,Stellate,0.057641767
54,0,A0185_S54_L001,Central hep,0.36495003
55,0,A0185_S54_L001,Cholangiocyte,0.124584086
56,0,A0185_S54_L001,DC,0.014789341
57,0,A0185_S54_L001,Endo,0.025305059
58,0,A0185_S54_L001,Kupffer,0.009099541
59,0,A0185_S54_L001,Midzonal hep,0.17124349
60,0,A0185_S54_L001,Mono,0.042503573
61,0,A0185_S54_L001,Portal hep,0.0045566484
62,0,A0185_S54_L001,Stellate,0.05309259
63,0,A0199_S53_L001,Central hep,0.00016450301
64,0,A0199_S53_L001,Cholangiocyte,0.10094631
65,0,A0199_S53_L001,DC,0.06378627
66,0,A0199_S53_L001,Endo,0.020562526
67,0,A0199_S53_L001,Kupffer,0.0013775829
68,0,A0199_S53_L001,Midzonal hep,0.23813713
69,0,A0199_S53_L001,Mono,0.19745596
70,0,A0199_S53_L001,Portal hep,0.0003129561
71,0,A0199_S53_L001,Stellate,0.1606053
72,0,A0213_S52_L001,Central hep,0.28070512
73,0,A0213_S52_L001,Cholangiocyte,0.18019718
74,0,A0213_S52_L001,DC,0.03809266
75,0,A0213_S52_L001,Endo,0.032197513
76,0,A0213_S52_L001,Kupffer,0.035527147
77,0,A0213_S52_L001,Midzonal hep,0.00284166
78,0,A0213_S52_L001,Mono,0.11714094
79,0,A0213_S52_L001,Portal hep,0.02007959
80,0,A0213_S52_L001,Stellate,0.09020911
81,0,A0227_S51_L001,Central hep,0.2138959
82,0,A0227_S51_L001,Cholangiocyte,0.09859374
83,0,A0227_S51_L001,DC,0.024919255
84,0,A0227_S51_L001,Endo,0.020522637
85,0,A0227_S51_L001,Kupffer,0.0095304325
86,0,A0227_S51_L001,Midzonal hep,0.42253777
87,0,A0227_S51_L001,Mono,0.06700532
88,0,A0227_S51_L001,Portal hep,0.00095834763
89,0,A0227_S51_L001,Stellate,0.04154833
90,0,A0283,Central hep,0.00020978022
91,0,A0283,Cholangiocyte,0.082906924
92,0,A0283,DC,0.0075218487
93,0,A0283,Endo,0.0300468
94,0,A0283,Kupffer,0.0078003146
95,0,A0283,Midzonal hep,0.70798343
96,0,A0283,Mono,0.06246865
97,0,A0283,Portal hep,0.00028640617
98,0,A0283,Stellate,0.05057663
99,0,RA0717.Liver_S10,Central hep,0.42483065
100,0,RA0717.Liver_S10,Cholangiocyte,0.1013087
101,0,RA0717.Liver_S10,DC,0.038088642
102,0,RA0717.Liver_S10,Endo,0.06239434
103,0,RA0717.Liver_S10,Kupffer,0.050845522
104,0,RA0717.Liver_S10,Midzonal hep,0.02768055
105,0,RA0717.Liver_S10,Mono,0.0227269
106,0,RA0717.Liver_S10,Portal hep,0.051232968
107,0,RA0717.Liver_S10,Stellate,0.095458284
108,0,RA0850.Liver_S11,Central hep,0.6429837
109,0,RA0850.Liver_S11,Cholangiocyte,0.07533987
110,0,RA0850.Liver_S11,DC,0.06068577
111,0,RA0850.Liver_S11,Endo,0.047991745
